URL	銘柄コード	開示日	タイトル	要約	株主にとって	作成日
/disc/141A0/140120240319556005.pdf	141A	2024-03-21	東京証券取引所グロース市場への上場に伴う当社決算情報等のお知らせ	トライアルHDが東証グロースへ上場。24年6月期予想は売上7,111億円（+8.9%）、純利益108億円（+33.3%）と大幅増益を見込む	好材料	2026-08-15
/disc/141A0/140120240319556007.pdf	141A	2024-03-21	事業計画及び成長可能性に関する事項	トライアルHDは2024年3月21日、事業計画及び成長可能性に関する事項を開示。売上高6,531億円、総店舗数311店などの業績概要と出店戦略を説明した。	中立	2026-08-15
/disc/141A0/140120240410568217.pdf	141A	2024-04-10	2024年3月度 月次売上高速報(小売)	トライアルHDは3月度既存店売上高が前年同月比110.6%増と好調だった。	中立	2026-08-15
/disc/141A0/140120240412570088.pdf	141A	2024-04-12	第三者割当増資の結果に関するお知らせ	大和証券へ342万7,900株を1株1,598円で第三者割当増資し、手取54億5,300万円をトライアルカンパニー等への投融資に充当。	悪材料	2026-08-15
/disc/141A0/140120240430580227.pdf	141A	2024-05-01	完全子会社の吸収合併（簡易合併・略式合併）に関するお知らせ	トライアルHDが完全子会社SREを吸収合併し、不動産保有と運営の一体化で効率化を図る。連結業績への影響は軽微。	中立	2026-08-15
/disc/141A0/140120240508583911.pdf	141A	2024-05-10	2024年4月度 月次売上高速報(小売)	トライアルHDは4月度既存店売上高が前年同月比102.5%と減少。天候や休日の影響を受けたが、生鮮惣菜やアパレルがけん引した。	中立	2026-08-15
/disc/141A0/140120240507583199.pdf	141A	2024-05-14	2024年６月期 第３四半期決算短信〔日本基準〕（連結）	トライアルHDは2024年6月期第3四半期で売上高5,372億円、純利益94億9,400万円を計上。通期予想は据え置き。	中立	2026-08-15
/disc/141A0/140120240610525142.pdf	141A	2024-06-10	2024年5月度 月次売上高速報(小売)	トライアルHDは5月度既存店売上高が前年同月比105.2%増と好調だったと開示。	中立	2026-08-15
/disc/141A0/140120240710546636.pdf	141A	2024-07-10	2024年6月度 月次売上高速報(小売)	トライアルHDは2024年6月度の既存店売上高が前年同月比105.8%増となり、37ヵ月連続で前年を上回った。	好材料	2026-08-15
/disc/141A0/140120240809568659.pdf	141A	2024-08-09	2024年7月度 月次売上高速報(小売)	トライアルHDは7月度の既存店売上高が前年同月比106.0%、客数101.8%と堅調な成長を記録した。	好材料	2026-08-15
