コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
6090	ヒューマンメタボロームテクノロジー	マザーズ		A	2013/12/24	1300	1400	2100	3100	1300	1400	菅野　隆二／1950年生	63	2003	49	62	531000000	4735000	1571500	54.1	36.4	9.5	質量分析計などの設備資金、米子会社の運転資金、残額は研究開発費	6155500000	27.2	27.2	0	0	0	0	39.1	0	"サミット・バイオテクノロジー・ジャパン	ベンチャーキャピタル（ファンド）	792900	17.5
冨田 勝	創業者	570000	12.6
曽我 朋義	創業者	570000	12.6
大阪ライフサイエンス	ベンチャーキャピタル（ファンド）	557100	12.3
慶応義塾	特別利害関係者等	199500	4.4
東北インキュベーション	ベンチャーキャピタル（ファンド）	195000	4.3
大岸 治行	特別利害関係者等	165000	3.6
西岡 孝明	特別利害関係者等	150000	3.3
東北グロース	ベンチャーキャピタル（ファンド）	135000	3.0
TICC大学連携	ベンチャーキャピタル（ファンド）	90000	2.0
菅野 隆二	代表取締役社長	90000	2.0"
4245	ダイキアクシス	東証2部		C	2013/12/19	1200	1300	1500	1351	1200	1300	大亀  裕／1960年生	53	2005	579	39	1621500000	2997200	805000	62.1	24.8	13.0	顧客企業への地下水飲料化プラントの設置（設備投資のために調達した短期借入金の返済含む）	3596640000	47.2	47.2	0	0	0	0	20.5	0	"大亀  裕	代表取締役社長	1179200	47.2
ジャフコＶ１-Ｂ号	ベンチャーキャピタル（ファンド）	180000	7.2
伊予銀行	特別利害関係者等	120000	4.8
愛媛銀行	特別利害関係者等	120000	4.8
従業員持ち株会	特別利害関係者等	115000	4.6
ジャフコＶ１-スター	ベンチャーキャピタル（ファンド）	106000	4.2
オリックス10号	ベンチャーキャピタル（ファンド）	80000	3.2
日本政策投資銀行	特別利害関係者等	80000	3.2
ジャフコＶ１-Ａ号	ベンチャーキャピタル（ファンド）	74000	3.0
ＭＵＦＧベンチャーキャピタル１号	ベンチャーキャピタル（ファンド）	72000	2.9"
6089	ウィルグループ	東証2部		B	2013/12/19	2770	2870	2900	2750	2770	2870	池田　良介／1968年生	45	2006	518	43	125000000	2313200	849000	39.2	47.7	13.0	システム投資、データセンター増築、借入金返済、人材採用費、営業拠点の開設	6407564000	65.3	43.8	21.5	0	0	0	23.5	0	"池田　良介	代表取締役社長	697000	34.0
信金キャピタル二号	ベンチャーキャピタル（ファンド）	313200	15.3
大原　茂	人的・資本的関係会社役員	230000	11.2
池田企画事務所	役員等が議決権の過半数を所有する会社	200000	9.8
渡部　信吾	人的・資本的関係会社役員	140000	6.8
JAIC-IF４号	ベンチャーキャピタル（ファンド）	96000	4.7
従業員持ち株会	特別利害関係者等	68200	3.3
次世代経営者応援基金2005	ベンチャーキャピタル（ファンド）	40000	1.9
告野　崇	人的・資本的関係会社役員	36400	1.8
高田　憲治	取締役	34000	1.7
ネオステラ１号	ベンチャーキャピタル（ファンド）	32000	1.6"
7167	足利ホールディングス	東証1部		A	2013/12/19	420	420	420	451	400	420	藤沢　智／1947年生	66	2008	3029	1924	105010000000	325000000	63250000	87.0	0.0	13.0	優先株式の取得および消却	136500000000	0	0	0	0	0	0	70.6	0	"野村フィナンシャル・パートナーズ	ベンチャーキャピタル（ファンド）、金融商品取引業者の子会社、その他の関係会社	122900000	44.6
足利ネクスト	ベンチャーキャピタル（ファンド）	53000000	19.2
ジャフコ・スーパーＶ３共有	ベンチャーキャピタル（ファンド）	15000000	5.4
日本興亜損害保険	特別利害関係者等	15000000	5.4
三井住友海上火災保険	特別利害関係者等	15000000	5.4
全国共済農業協同組合連合会	特別利害関係者等	10000000	3.6
日本生命保険（相）	特別利害関係者等	5000000	1.8
朝日火災海上保険	特別利害関係者等	4000400	1.4
セブン銀行	特別利害関係者等	4000000	1.4
損害保険ジャパン	特別利害関係者等	4000000	1.4
シンプレクス・プライベート・エクイティ２号	ベンチャーキャピタル（ファンド）	4000000	1.4"
6086	シンプロメンテ	マザーズ		B	2013/12/19	910	950	2000	2235	910	950	内藤　秀治郎／1969年生	44	1985	57	65	114820000	1606400	402500	49.7	37.3	13.0	システム投資、人材関連費	1461824000	72.5	60.4	12.1	0	0	0	11.0	0	"内藤　秀雄	代表取締役会長	525600	33.6
内藤　秀治郎	代表取締役社長	218600	14.0
ShuManagement	役員等が議決権の過半数を所有する会社	200000	12.8
合田　利恵	特別利害関係者等	98000	6.3
内藤　剛	取締役の血族	90000	5.8
みずほ証券	金融商品取引業者	57000	3.6
ジャフコＶ２共有	ベンチャーキャピタル（ファンド）	50000	3.2
信金キャピタル二号	ベンチャーキャピタル（ファンド）	33000	2.1
三菱ＵＦＪキャピタル２号	ベンチャーキャピタル（ファンド）	33000	2.1
大崎　秀文	取締役	26000	1.7
村山　政昭	専務取締役	24600	1.6
西坂　智佳	取締役の血族	24000	1.5
内藤　千佳子	取締役の血族	24000	1.5"
6088	シグマクシス	マザーズ	-	A	2013/12/18	2830	3010	4000	3020	2830	3010	倉重　英樹／1942年生	71	2008	363	34	1750000000	4711700	1827300	11.6	75.4	13.0	クラウドサービス使用料などセンター運営費、研修費用や手順書作成費、海外オフィス開設に伴う事務所費用や人件費、採用・教育研修費	13334111000	56.2	1.8	0	0	54.4	1.0	10.4	0	"三菱商事	親会社	2569800	54.4
インターネットイニシアティブ	特別利害関係者等	495000	10.5
インテック	特別利害関係者等	495000	10.5
RHJ International SA	ベンチャーキャピタル（ファンド）	490500	10.4
ワコム	特別利害関係者等	225000	4.8
倉重　英樹	代表取締役会長兼社長	30000	0.6
富村　隆一	取締役副社長	30000	0.6
清水　照雄	取締役副社長	30000	0.6
大原　聡	従業員	23400	0.5
渡辺　達雄	従業員	23400	0.5"
3294	イーグランド	JASDAQスタンダード	-	B	2013/12/18	3030	3300	5000	4200	3030	3300	江口　久／1957年生	56	1989	58	58	342700000	1470000	402500	62.1	24.8	13.0	賃貸用不動産の取得、販売用不動産の仕入れ	4454100000	56.4	56.4	0	0	0	0	16.0	0	"江口　久	代表取締役社長	505000	38.9
信金キャピタル二号	ベンチャーキャピタル（ファンド）	100000	7.7
江口　恵津子	代表取締役社長の配偶者	75000	5.8
新生銀行	特別利害関係者等	60000	4.6
江口　直宏	代表取締役社長の血族	50000	3.9
千田　美穂	代表取締役社長の血族	50000	3.9
山本　香菜	代表取締役社長の血族	50000	3.9
ジャフコＶ２共有	ベンチャーキャピタル（ファンド）	48000	3.7
ジューテック	特別利害関係者等	40000	3.1
佐々木　洋	監査役	34000	2.6
三生４号	ベンチャーキャピタル（ファンド）	30000	2.3
みずほキャピタル第３号	ベンチャーキャピタル（ファンド）	30000	2.3"
6087	アビスト	JASDAQスタンダード	-	B	2013/12/18	3450	3450	3600	3450	3250	3450	進  勝博／1938年生	75	2006	720	154	312500000	1990000	603000	74.6	12.3	13.0	3D-CAD(立体-コンピューター利用設計システム)、機器、本社・事業所関連施設などの取得、長期借入金の返済	6865500000	27.5	27.5	0	0	0	0	14.6	0	"進  勝博	代表取締役社長	374400	24.3
日本空港サービス	その他の関係会社	350000	22.7
社員持ち株会	特別利害関係者等	116300	7.5
ＮＩＦＳＭＢＣ－Ｖ２００６Ｓ３	ベンチャーキャピタル（ファンド）	94400	6.1
三菱ＵＦＪキャピタル２号	ベンチャーキャピタル（ファンド）	66600	4.3
ニッセイ・キャピタル３号	ベンチャーキャピタル（ファンド）	65000	4.2
大宅  清文	監査役	50000	3.2
進  絢子	代表取締役社長の配偶者	50000	3.2
日本生命保険	特別利害関係者等	50000	3.2
小林&#160;&#160;秀樹	特別利害関係者等	46000	3.0"
6085	アーキテクツスタジオジャパン	マザーズ		B	2013/12/18	1590	2050	4500	4600	1850	2050	丸山  雄平／1956年生	57	2007	59	64	89070000	1460000	345000	72.5	14.5	13.0	広告宣伝費、販売促進費、基幹情報システム開発、借入金返済	2321400000	55.4	43.9	11.5	0	0	0	17.5	0	"丸山  雄平	代表取締役社長	488500	37.5
高橋  恒夫	常務取締役	100000	7.7
安田企業投資４号	ベンチャーキャピタル（ファンド）	99000	7.6
ピュア・クリエイト	代表取締役社長が議決権の過半数を所有する会社	83500	6.4
従業員持ち株会	特別利害関係者等	74500	5.7
大阪投資育成第５号	ベンチャーキャピタル（ファンド）	50000	3.8
松田  静夫	常務取締役	50000	3.8
ネオステラ１号	ベンチャーキャピタル（ファンド）	49000	3.8
香川証券	金融商品取引業者	30000	2.3
エムスリー	特別利害関係者等	30000	2.3"
3293	アズマハウス	JASDAQスタンダード	-	C	2013/12/17	1500	1600	1800	1760	1500	1600	曽和  勝彦／1957年生	56	1977	165	37	67800000	3863000	1293700	42.5	44.4	13.0	販売用分譲マンションの建設、長期借入金の返済	5794500000	94.7	93.9	0.8	0	0	0	0	0	"東  行男	代表取締役会長	1800000	51.5
東  優子	専務取締役、代表取締役会長の配偶者	650000	18.6
東  絹子	代表取締役会長の血族	500000	14.3
東  祐子	代表取締役会長の血族	125000	3.6
東  さゆり	代表取締役会長の血族	125000	3.6
アズマハウス	自己株式	100000	2.9
曽和  勝彦	代表取締役社長	80000	2.3
九鬼  章郎	常務取締役	15000	0.4
西田  明美	取締役	15000	0.4
社員持ち株会	特別利害関係者等	13000	0.4"
1429	日本アクア	マザーズ	-	B	2013/12/13	1480	1650	2500	2061	1480	1650	中村　文隆／1968年生	45	2004	391	100	405000000	6670000	1805500	87.0	0.0	13.0	車両・機械の購入、本社・営業所の移転、倉庫・事務所の新規開設	9871600000	74.4	9.1	1.6	0	63.7	0.8	0	0	"桧家ホールディングス	親会社	3500000	63.7
Huntsman　Investments	取引先の子会社	1000000	18.2
中村　文隆	代表取締役社長	500000	9.1
従業員持ち株会	特別利害関係者等	70000	1.3
村上　友香	専務取締役	55000	1.0
北恵	取引先	20000	0.4
江川　弘	常務取締役	15000	0.3
笹川　真也	取締役	15000	0.3
中村　嘉孝	従業員	12000	0.2
協立エアテック	取引先	10000	0.2
青山　和浩	従業員	10000	0.2
宇佐美　計史	従業員	10000	0.2
川上　千絵美	従業員	10000	0.2"
3682	エンカレッジ・テクノロジ	マザーズ		B	2013/12/11	1480	1730	5000	3775	1550	1730	石井　進也／1962年生	51	2002	59	43	150000000	3190000	744700	44.3	42.6	13.0	研究開発費、システム投資、企業・事業買収	4721200000	43.4	43.4	0	0	0	3.5	24.8	0	"石井　進也	代表取締役社長	1030000	33.9
ＮＴＴファイナンス	ベンチャーキャピタル（ファンド）、金融商品取引業者	300000	9.9
丸山　良弘	代表取締役専務	290000	9.5
ジャフコ・スーパーV3共有	ベンチャーキャピタル（ファンド）	275000	9.1
ソルクシーズ	特別利害関係者等	240000	7.9
イノベーション・エンジン三号	ベンチャーキャピタル（ファンド）	175000	5.8
加藤　敏行	従業員	105000	3.5
釜井　克二	特別利害関係者等	90000	3.0
日本システムウエア	特別利害関係者等	50000	1.6
キヤノン電子	特別利害関係者等	50000	1.6
日本ユニシス	特別利害関係者等	50000	1.6
オービックビジネスコンサルタント	特別利害関係者等	50000	1.6
インテック	特別利害関係者等	50000	1.6"
6084	オウチーノ	マザーズ		B	2013/12/11	3130	3500	9000	8050	3300	3500	井端　純一／1952年生	61	2003	81	78	136935000	1238000	160200	81.1	6.4	12.5	システム投資、広告宣伝費	3874940000	31.0	27.2	3.8	0	0	4.8	39.0	0	"アイビス新成長	ベンチャーキャピタル（ファンド）	476000	39.0
井端　純一	代表取締役社長	316000	25.9
デジタル・アドバタイジング・コンソーシアム	特別利害関係者等	80000	6.5
サイバーエージェント	特別利害関係者等	40000	3.3
山下　勇人	従業員	33300	2.7
福岡　範洋	取締役	26400	2.2
鈴木　玲	従業員	25100	2.1
井尻　慶輔	特別利害関係者等	20000	1.6
竹内　徳	取締役	19400	1.6
井端　まどか	代表取締役社長の配偶者	16000	1.3
従業員持ち株会	特別利害関係者等	15000	1.2"
3681	ブイキューブ	マザーズ	-	A	2013/12/10	2700	3300	6000	5010	3000	3300	間下　直晃／1977年生	36	2000	199	167	631714000	4296500	1342800	44.7	42.3	13.0	ソフトウエア開発の人件費、新技術投資、東南アジア現地法人設立、提携先との協業、運転資金	11600550000	36.5	36.5	0	0	0	0	30.7	0	"間下　直晃	代表取締役社長	1219700	29.4
Intel Capital	ベンチャーキャピタル（ファンド）	624900	15.1
Globis Fund III	ベンチャーキャピタル（ファンド）	425900	10.3
トミーコンサルティングインク	役員等が議決権の過半数を所有する会社	170000	4.1
高田　雅也	代表取締役副社長	125000	3.0
Globis Fund III (B)	ベンチャーキャピタル（ファンド）	119600	2.9
RIP1号R＆D	ベンチャーキャピタル（ファンド）	100000	2.4
ネクストン	特別利害関係者等	73300	1.8
社員持ち株会	特別利害関係者等	71800	1.7
井出　泰斗	特別利害関係者等	69500	1.7"
3680	ホットリンク	マザーズ	-	A	2013/12/09	2570	2700	10000	7170	2570	2700	内山　幸樹／1971年生	42	2000	29	63	279733000	1826000	539100	35.0	51.9	13.0	サーバーなどの設備資金、人材採用費、広告宣伝費、本社移転の敷金、借入金の返済	4692820000	79.7	40.7	2.5	0	36.5	1.4	0	9.0	"内山　幸樹	代表取締役社長	693800	37.8
オプト	親会社	669600	36.5
salesforce.com	資本業務提携先	56000	3.0
シナジーマーケティング	資本業務提携先	56000	3.0
日立システムズ	資本業務提携先	56000	3.0
ホットリンク	自己株式	48800	2.7
成瀬　功一郎	取締役兼COO	46400	2.5
On Fortune International	役員等が議決権の過半数を所有する会社	31400	1.7
高橋　和也	従業員	26600	1.4
内山　典子	代表取締役社長の血族	11400	0.6
内山　康弘	代表取締役社長の血族	11400	0.6"
4588	オンコリスバイオファーマ	マザーズ		A	2013/12/06	2420	2600	4000	3500	2420	2600	浦田　泰生／1955年生	58	2004	22	81	2442980000	8510700	2553000	71.3	15.7	13.0	研究開発費	20595894000	12.7	10.5	2.2	0	0	0	29.8	0	"湘南ソニック1号	ベンチャーキャピタル（ファンド）	1890000	24.3
浦田　泰生	代表取締役社長	814700	10.5
アステラス製薬	特別利害関係者等	727200	9.4
WONIK CUBE	特別利害関係者等	712900	9.2
KD Partners	特別利害関係者等	442300	5.7
Min Kon Kim	特別利害関係者等	411900	5.3
CBC	特別利害関係者等	375000	4.8
NVCC6号	ベンチャーキャピタル（ファンド）	240000	3.1
アイビス新成長	ベンチャーキャピタル（ファンド）	187500	2.4
六反田　靖	取締役	174000	2.2"
6082	ライドオンエクスプレス	マザーズ		B	2013/12/03	1790	2000	4600	3105	1790	2000	江見　朗／1960年生	53	2001	293	88	463114000	4495000	1196000	20.9	66.1	13.0	新規店舗の開設、Web受注システムや店舗運営システム構築、社内インフラ整備	8046050000	58.8	45.3	13.5	0	0	0	33.9	0	"ジャフコV2共有	ベンチャーキャピタル（ファンド）	1550800	31.1
江見朗	代表取締役社長兼CEO	1331400	26.7
(有)イーエムアイ	代表取締役の血族が議決権の過半数を所有する会社	630000	12.6
松島和之	取締役副社長兼COO	300400	6.0
渡辺一正	専務取締役兼CFO	230000	4.6
冨板克行	常務取締役	218000	4.4
水谷俊彦	常務取締役	143000	2.9
ジャフコV2-W	ベンチャーキャピタル（ファンド）	137600	2.8
従業員持ち株会	特別利害関係者等	133000	2.7
赤木豊	取締役	79000	1.6"
