コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
7080	スポーツフィールド	マザーズ	サービス業	A	2019/12/26	2650	2730	7000	8500	2570	2730	篠崎 克志 （上場時37歳5カ月）／1982年生	37	2010	195	5	10300000	881600	347000	18.9	68.1	13.0	オフィス拡大のための設備投資、事業拡大のための採用資金、広告宣伝、借入金の返済	2336240000	93.4	53.8	39.6	0	0	2.7	0	0	"篠崎克志	代表取締役	312000	35.4
加地正	専務取締役	160000	18.2
森本翔太	専務取締役	160000	18.2
伊地知和義	取締役副社長	160000	18.2
永井淳平	取締役CFO	28000	3.2
北川雅人	従業員	11840	1.3
山本憲司	監査役	4000	0.5
佐野浩太郎	従業員	3680	0.4
岡村芳明	従業員	3360	0.4
小西秀人	従業員	1920	0.2
横山沙織	従業員	1920	0.2
龍井渚	従業員	1920	0.2
井原隆	従業員、子会社の代表取締役	1920	0.2"
7079	WDBココ	マザーズ	サービス業	B	2019/12/25	1390	1530	3500	3400	1390	1530	谷口 晴彦 （上場時44歳8カ月）／1975年生	44	1984	303	1	50000000	2285000	657800	43.3	43.6	13.0	システム開発など、人材採用費、人件費	3176150000	98.2	2.8	1.1	0	94.3	1.0	0	0	"WDBﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	親会社	2000000	94.3
谷口晴彦	代表取締役社長	60000	2.8
平光初音	取締役	18000	0.8
斉藤和貴	従業員	6500	0.3
藤原素行	取締役	6000	0.3
西田尚徳	従業員	6000	0.3
松本律子	従業員	3600	0.2
新井教子	従業員	3000	0.1
斉藤譲一	監査役	3000	0.1
掛井美保	従業員	3000	0.1"
4488	AI inside	マザーズ	情報・通信業	A	2019/12/25	2660	3600	9000	12600	3000	3600	渡久地 択 （上場時35歳7カ月）／1984年生	35	2015	57	12	465200000	3540000	575000	52.2	34.8	13.0	サーバー購入費、サーバー維持関連費、採用費・人件費	9416400000	61.0	56.8	4.2	0	0	2.8	10.5	0	"渡久地択	代表取締役社長CEO	2000000	56.8
ｱｸｻ生命保険(株)	特別利害関係者など	250000	7.1
UTEC4号投組	ベンチャーキャピタル（ファンド）	221000	6.3
(株)ﾚｵﾊﾟﾚｽ21	特別利害関係者など	200000	5.7
中沖勝明	取締役会長	148000	4.2
日本郵政ｷｬﾋﾟﾀﾙ(株)	ベンチャーキャピタル（ファンド）	147000	4.2
大日本印刷(株)	特別利害関係者など	100000	2.8
名井将元	従業員	98000	2.8
ﾚｶﾑ(株)	特別利害関係者など	58000	1.6
第一生命保険(株)	特別利害関係者など	50000	1.4"
6557	global bridgeHOLDINGS	マザーズ	サービス業	B	2019/12/23	2590	2690	4100	4020	2590	2690	貞松 成 （上場時38歳6カ月）／1981年生	38	2015	46	5	107825000	2443300	747300	6.7	80.3	13.0	設備投資	6328147000	75.5	32.6	3.6	0	39.3	0.4	0.8	0	"(株)ｱﾆｳﾞｪﾙｾﾙHOLDINGS	親会社	1064550	39.3
青木拡憲	特別利害関係者など	599900	22.1
貞松成	代表取締役社長、子会社の取締役、子会社の理事	568700	21.0
social investment(株)	役員らが議決権の過半数を所有する会社	315000	11.6
加地義孝	取締役COO、子会社の取締役	32126	1.2
三村武史	従業員、子会社の取締役、子会社の理事	32126	1.2
樽見伸二	取締役CFO、子会社の取締役、子会社の理事	31700	1.2
市村浩子	監査役、子会社の監査役、子会社の監事	30426	1.1
SMBCﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ1号投組	ベンチャーキャピタル（ファンド）	20550	0.8
木原成記	従業員	5957	0.2
高島裕二	子会社の従業員	5957	0.2"
7686	カクヤス	東証2部	卸売業	B	2019/12/23	1520	1600	1800	1866	1520	1600	佐藤 順一 （上場時60歳10カ月）／1959年生	60	1982	1513	7	100000000	7525000	2348300	12.1	74.8	13.0	EC（電子商取引）サイトの開発など、販売時点情報管理(POS)レジスター更新、倉庫作業効率化投資、店舗新設および改修、借入金の返済	11438000000	88.3	0.4	0.7	0	87.2	0	0	0	"(株)SKYｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	親会社	6982000	87.2
従業員持ち株会	特別利害関係者など	216000	2.7
佐藤順一	代表取締役社長	20000	0.2
田島安希彦	代表取締役副社長	16000	0.2
並木吉彦	取締役、子会社の取締役	10000	0.1
赤坂敏明	取締役	10000	0.1
関口信彦	取締役	10000	0.1
森山雅司	執行役員、子会社の取締役	5800	0.1
新里正	執行役員	5800	0.1
川口雅博	執行役員	5800	0.1
小山隆弘	執行役員	5800	0.1"
4487	スペースマーケット	マザーズ	情報・通信業	B	2019/12/20	520	590	1200	1306	520	590	重松 大輔 （上場時43歳10カ月）／1976年生	43	2014	52	24	100000000	11213800	2063900	25.2	61.8	13.0	無形固定資産の取得、借入金の返済	5831176000	54.0	47.6	6.4	0	0	0	22.0	0	"重松大輔	代表取締役社長	4086000	34.8
(株)ﾀﾞﾌﾞﾙﾊﾟｲﾝｽﾞ	代表取締役の資産管理会社	1500000	12.8
ｵﾌﾟﾄﾍﾞﾝﾁｬｰｽﾞ1号投組	ベンチャーキャピタル（ファンド）	1247700	10.6
CA Startups Internet Fund2投組	ベンチャーキャピタル（ファンド）	771000	6.6
鈴木真一郎	取締役	752700	6.4
壺内靖二郎	特別利害関係者など	734700	6.3
(株)ﾏｲﾅﾋﾞ	特別利害関係者など	335700	2.9
ｵﾘｯｸｽ(株)	特別利害関係者など	256200	2.2
みずほ成長支援投組	ベンチャーキャピタル（ファンド）	205200	1.8
東京建物(株)	特別利害関係者など	171000	1.5
XTech1号投組	ベンチャーキャピタル（ファンド）	171000	1.5
ﾄﾞｺﾓ･ｲﾉﾍﾞｰｼｮﾝﾌｧﾝﾄﾞ2号投組	ベンチャーキャピタル（ファンド）	171000	1.5"
4881	ファンペップ	マザーズ	医薬品	B	2020/12/25	820	650	630	715	650	730	三好 稔美（上場時56歳9カ月）／1964年生	55	2013	11	33	1388240000	16746700	3150600	87.0	0.0	13.0	新規開発品や新規製剤技術の研究開発費、人件費	13732294000	22.0	11.1	10.9	0	0	0	12.2	10.4	"森下竜一	特別利害関係者など	2200000	13.5
平井昭光	取締役	1775000	10.9
SBI4&5投組	ベンチャーキャピタル（ファンド）	1190400	7.3
三好稔美	代表取締役社長	1160000	7.1
塩野義製薬(株)	資本業務提携先	1095200	6.7
(有)ｱﾄﾞﾊﾞﾝｽﾃｸﾉﾛｼﾞｰ	特別利害関係者など	1000000	6.2
New Life Science 1号投組	ベンチャーキャピタル（ファンド）	793600	4.9
(株)SOLA	特別利害関係者など	750000	4.6
(株)ﾚｯｸｽｳｪﾙ	役員らが議決権の過半数を所有する会社	650000	4.0
(株)ﾒﾃﾞｨﾊﾟﾙﾎｰﾙﾃﾞｨﾝｸﾞｽ	資本業務提携先	595200	3.7"
7078	INCLUSIVE	マザーズ	サービス業	B	2019/12/20	2290	2110	4200	4535	2010	2110	藤田 誠 （上場時46歳8カ月）／1973年生	46	2007	47	8	21700000	2356700	488700	40.9	46.0	13.0	オフィス移転および統合、人材採用および研修、システム開発	5396843000	87.9	86.9	1.0	0	0	0.6	0	0	"藤田誠	代表取締役社長、子会社の代表取締役社長、子会社の取締役	1625300	70.8
ｱｰｷﾀｲﾌﾟ(株)	役員らが議決権の過半数を所有する会社	222700	9.7
ﾃﾞｼﾞﾀﾙ･ｱﾄﾞﾊﾞﾀｲｼﾞﾝｸﾞ･ｺﾝｿｰｼｱﾑ(株)	特別利害関係者など	100000	4.4
安達真	取締役、子会社の代表取締役社長	96300	4.2
(株)ｶﾔｯｸ	特別利害関係者など	64700	2.8
大向一輝	子会社の取締役	22700	1.0
後藤健太郎	取締役、子会社の代表取締役社長	50600	2.2
(株)ﾃﾞﾙﾌｨｽ	特別利害関係者など	20000	0.9
原直志	従業員	7900	0.3
渡辺淳一	従業員	6100	0.3"
2980	SREホールディングス	マザーズ	不動産業	A	2019/12/19	2975	2650	2500	2475	2550	2650	西山 和良 （上場時44歳8カ月）／1975年生	44	2014	111	3	1822450000	15128000	5157200	27.1	59.8	13.0	研究開発、販売用ソフトウエア開発、人件費および人材採用研修費、広告宣伝、借入金の返済、営業用不動産の取得	45005800000	57.0	2.6	1.4	0	53.0	0.1	0	0	"ｿﾆｰ(株)	親会社、資本的関係会社	7727400	53.0
Zﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本的関係会社	6000000	41.2
西山和良	代表取締役社長、子会社の代表取締役社長、資本的関係会社の取締役	380100	2.6
角田智弘	取締役、子会社の取締役	63000	0.4
河合通恵	取締役	51000	0.3
青木和大	従業員、子会社の取締役	42000	0.3
喜志武弘	取締役	32100	0.2
清水卓	取締役	30000	0.2
上出昇	外部協力者	30000	0.2
久々湊暁夫	従業員、子会社の監査役	18000	0.1"
2981	ランディックス	マザーズ	不動産業	B	2019/12/19	1530	1630	2500	3660	1530	1630	岡田 和也 （上場時50歳6カ月）／1969年生	50	2001	42	18	136498000	2734693	747500	53.5	33.4	13.0	システム開発、借入金の返済	4184080290	96.2	92.6	3.6	0	0	0	0	0	"岡田和也	代表取締役社長	1510000	60.7
MJ･R(同)	役員らが議決権の過半数を所有する会社	500000	20.1
岡田英利子	代表取締役社長の親族	120000	4.8
岡田光盛	代表取締役社長の親族	120000	4.8
渡辺光章	常務取締役	35000	1.4
古室健	取締役	35000	1.4
小野雅之	子会社の代表取締役	35000	1.4
宇野康秀	特別利害関係者など	30000	1.2
岡田純子	代表取締役社長の親族	20000	0.8
中山周一郎	取締役	19000	0.8"
