コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
6072	地盤ネット	マザーズ	-	B	2012/12/21	720	720	1650	1412	700	720	山本　強／1966年生	46	2008	25	30	140000000	5284000	901000	42.6	44.4	13.0	広告宣伝費と売上債権増加に伴う運転資金	3804480000	66.3	61.2	5.1	0	0	0	17.0	0	"山本　強	代表取締役社長	2050000	38.6
Houseepo Pte	役員等が議決権の過半数を所有する会社	1200000	22.6
Asia Web Media Pte	特別利害関係者等	650000	12.2
三菱ＵＦＪキャピタル３号	ベンチャーキャピタル（ファンド）	400000	7.5
西武しんきんキャピタル企業投資１号	ベンチャーキャピタル（ファンド）	300000	5.7
三生５号	ベンチャーキャピタル（ファンド）	200000	3.8
斉藤　福光	取締役CFO	170000	3.2
平野　圭一	取締役	100000	1.9
松木　大輔	監査役	40000	0.8
中野　鍾	監査役	20000	0.4"
3261	グランディーズ	福証Qボード		C	2012/12/21	350	360	360	368	340	360	亀井　浩／1970年生	42	2006	9	49	28135000	1007000	250000	100.0	0.0	0.0	分譲マンションの建設資金の一部	352450000	89.8	86.4	3.4	0	0	0	3.3	0	"亀井　浩	代表取締役社長	706000	86.4
枇杷木　秀範	常務取締役	18000	2.2
日本アジア投資	ベンチャーキャピタル（ファンド）	9000	1.1
大分ベンチャーキャピタル	ベンチャーキャピタル（ファンド）	9000	1.1
いよベンチャーファンド２号	ベンチャーキャピタル（ファンド）	9000	1.1
加藤　広昭	監査役	9000	1.1
原口　祥彦	取締役	6000	0.7
蔵前　達郎	監査役	6000	0.7
めの建設	特別利害関係者等	4100	0.5
江田　至	特別利害関係者等	4000	0.5
永井　恭子	取締役	4000	0.5"
2931	ユーグレナ	マザーズ		A	2012/12/20	1580	1700	3400	3900	1580	1700	出雲　充／1980年生	32	2005	38	69	460650000	2655500	630500	79.3	8.0	12.7	研究機器類などの増強、飲食店舗内装設備、顧客管理ソフトの購入、広告宣伝費、研究開発費	4195690000	28.6	25.8	2.8	0	0	0	46.6	0	"出雲　充	代表取締役社長	640200	25.8
ジャパン・スプレッド・パートナーズIII	ベンチャーキャピタル（ファンド）	405000	16.3
アイビス環境第一号	ベンチャーキャピタル（ファンド）	240000	9.7
インスパイア・テクノロジー・イノベーション・ファンド	ベンチャーキャピタル（ファンド）	210000	8.5
インスパイア	ベンチャーキャピタル（ファンド）	165000	6.7
東京センチュリーリース	特別利害関係者等	90000	3.6
鈴木　健吾	取締役	69000	2.8
JX日鉱日石エネルギー	特別利害関係者等	60000	2.4
アイザワ・ベンチャー1号	ベンチャーキャピタル（ファンド）	45000	1.8
アイビス新エネルギー	ベンチャーキャピタル（ファンド）	45000	1.8
CVC1号	ベンチャーキャピタル（ファンド）	45000	1.8"
6165	パンチ工業	東証2部	-	C	2012/12/20	560	560	570	530	510	560	森久保　有司／1943年生	69	1975	3581	47	382500000	7150000	2185000	59.5	27.5	13.0	生産設備、統括業務設備	4004000000	33.3	31.6	1.7	0	0	0	0	0	"エム・ティ興産	特別利害関係者等	1550000	25.8
森久保　有司	代表取締役社長	1119000	18.6
従業員持ち株会	特別利害関係者等	936000	15.6
森久保　哲司	代表取締役社長の血族、従業員	700000	11.7
神庭　道子	特別利害関係者等	330000	5.5
パンチ工業	自己株式	150000	2.5
森久保　博久	執行役員	100000	1.7
阿川　正司	特別利害関係者等	100000	1.7
神庭　慎司	特別利害関係者等	80000	1.3
森久保　やよい	代表取締役社長の配偶者	80000	1.3
三菱東京UFJ銀行	特別利害関係者等	80000	1.3"
3179	シュッピン	マザーズ	-	B	2012/12/20	330	330	500	550	310	330	鈴木　慶／1959年生	53	2005	164	89	350000000	5750000	1092500	68.6	18.3	13.0	EC（電子商取引）サイトリニューアル、新POS（販売時点情報管理）システム・基幹システムの導入	1897500000	60.9	53.0	7.9	0	0	0	33.1	0	"鈴木　慶	代表取締役社長	2308400	45.2
前川　正美	常務取締役	404200	7.9
マップグループ	代表取締役社長が議決権の20％以上を所有する会社	400000	7.8
日本アジア投資	ベンチャーキャピタル（ファンド）	320000	6.3
ＳＢＩ・リアル・インキュベーション１号	ベンチャーキャピタル（ファンド）	300000	5.9
安田企業投資３号	ベンチャーキャピタル（ファンド）	300000	5.9
信金キャピタル二号	ベンチャーキャピタル（ファンド）	300000	5.9
ジャフコ・スーパーＶ３共有	ベンチャーキャピタル（ファンド）	200000	3.9
りそなキャピタル２号	ベンチャーキャピタル（ファンド）	100000	2.0
ジャイク・インキュベーション２号	ベンチャーキャピタル（ファンド）	80000	1.6
オリックス11号	ベンチャーキャピタル（ファンド）	80000	1.6"
3669	モバイルクリエイト	マザーズ		A	2012/12/19	2500	3000	7000	7000	2700	3000	村井　雄司／1964年生	48	2002	70	65	226175000	1045200	261000	40.9	46.1	13.0	仕入れに伴う運転資金	2613000000	56.3	56.3	0	0	0	0	16.1	0	"村井　雄司	代表取締役社長	536200	56.3
ジャフコＶ２共有	ベンチャーキャピタル（ファンド）	88600	9.3
従業員持ち株会	特別利害関係者等	42200	4.4
大分ブイシープラムファンド	ベンチャーキャピタル（ファンド）	32000	3.4
大分ブイシーサクセスファンド２号	ベンチャーキャピタル（ファンド）	32000	3.4
大分銀行	取引先	30000	3.1
三菱東京ＵＦＪ銀行	取引先	20000	2.1
ゼンリンデータコム	取引先	20000	2.1
インターネットイニシアティブ	取引先	20000	2.1
第一交通産業	取引先	20000	2.1"
7164	全国保証	東証1部	-	A	2012/12/19	950	980	1000	1016	930	980	石川　英治／1964年生	48	1981	197	46	2600000000	33006000	10910900	67.4	19.6	13.0	既存取引先の金融機関などが取り扱う各種商品への投資、システム投資	31355700000	0	0	0	0	0	0	4.2	0	"富国生命保険	特別利害関係者等	2565000	10.0
明治安田生命保険	特別利害関係者等	2565000	10.0
ジブラルタ生命保険	特別利害関係者等	2188000	8.5
太陽生命保険	特別利害関係者等	2135500	8.3
T&Dフィナンシャル生命保険	特別利害関係者等	2000000	7.8
宮崎太陽銀行	特別利害関係者等	1260000	4.9
損害保険ジャパン	特別利害関係者等	1200000	4.7
富山銀行	特別利害関係者等	1094300	4.3
NIFSMBC－V2006S3	ベンチャーキャピタル（ファンド）	1081400	4.2
三菱UFJ信託銀行	特別利害関係者等	1000000	3.9
三井住友信託銀行	特別利害関係者等	1000000	3.9
朝日火災海上保険	特別利害関係者等	1000000	3.9"
3178	チムニー	東証2部	-	A	2012/12/14	1040	1000	945	945	1000	1050	和泉　学／1946年生	66	2009	950	27	5640200000	19340800	10222000	9.8	77.3	12.9	新規出店のための差入保証金および固定資産などの設備投資	20114432000	5.5	4.0	1.5	0	0	0.5	87.8	0	"Carlyle Japan International Partners II	ベンチャーキャピタル（ファンド）	8484100	42.8
Carlyle Japan Partners II	ベンチャーキャピタル（ファンド）	8192200	41.3
和泉　学	代表取締役社長	800000	4.0
チムニー	自己株式	720000	3.6
CJP Co-Investment II B	ベンチャーキャピタル（ファンド）	528000	2.7
山口  実	取締役	200000	1.0
CJP Co-Investment II A	ベンチャーキャピタル（ファンド）	195700	1.0
社員持ち株会	特別利害関係者等	166800	0.8
小林  巧	取締役	100000	0.5
神之門  良一	従業員	90000	0.5"
3668	コロプラ	マザーズ		A	2012/12/13	2900	3000	5000	5650	2700	3000	馬場  功淳／1978年生	34	2008	155	114	506379000	7892100	1452000	53.7	37.2	9.1	人件費、採用費、広告宣伝費、サーバ関連費用	22887090000	86.7	83.1	3.6	0	0	0.7	4.2	0	"馬場  功淳	代表取締役社長	5972900	77.3
千葉  功太郎	取締役副社長	451800	5.8
ＫＤＤＩ	取引先	340000	4.4
ジャフコSV3-1号	ベンチャーキャピタル（ファンド）	326600	4.2
長谷部  潤	取締役	94800	1.2
吉岡  祥平	取締役	88800	1.1
土屋  雅彦	取締役	71700	0.9
石渡  進介	取締役	29200	0.4
村松  厳	従業員	23800	0.3
桑羽  由起子	従業員	16000	0.2
菅井  健太	従業員	13200	0.2"
4929	アジュバンコスメジャパン	東証2部		B	2012/12/13	1350	1250	1250	1310	1250	1350	中村　豊／1946年生	66	1990	110	95	189793000	3634200	1150000	65.2	21.7	13.0	長期借入金の繰り上げ返済、香港店の出店費用・運転資金	4906170000	84.3	45.9	38.4	0	0	0	0	0	"中村　豊	代表取締役社長	900000	27.5
田中　昌樹	専務取締役の長男、従業員	600600	18.3
田中　順子	専務取締役	300000	9.2
Ｔ・Ｎソリューション	役員等が議決権の過半数を所有する会社、代表取締役の長男が代表取締役を務める会社	300000	9.2
ボンニー	役員等が議決権の過半数を所有する会社、専務取締役の長男が代表取締役を務める会社	300000	9.2
松井　健二	常務取締役	174000	5.3
従業員持ち株会	特別利害関係者等	129915	4.0
木原　栄	取締役	67644	2.1
窪田　孝	子会社の取締役	63000	1.9
中川　秀男	取締役	54141	1.6"
