コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
6034	ＭＲＴ	マザーズ	サービス業	A	2014/12/26	720	800	2000	3275	750	800	馬場　稔正／1973年生	41	2000	57	71	49000000	2260000	839500	57.2	29.8	13.0	ソフトウエア開発、医師会員獲得の費用、人材採用の人件費、オフィス移転費	1627200000	95.5	56.8	38.7	0	0	0.8	0	0	"冨田医療研究所	役員らが議決権の過半数を所有する会社	600000	28.4
馬場稔正	代表取締役執行役員社長	600000	28.4
冨田兵衛	取締役会長	520000	24.6
冨田留美	役員の配偶者	160000	7.6
小川智也	取締役執行役員	80000	3.8
工藤郁哉	取締役執行役員	20000	0.9
西川潔	取締役	20000	0.9
鷲尾州一郎	取締役執行役員	20000	0.9
横山聡子	従業員	8200	0.4
後藤志麻	従業員	8200	0.4"
6033	エクストリーム	マザーズ	サービス業	C	2014/12/25	1320	1400	2800	5550	1320	1400	佐藤　昌平／1964年生	50	2005	232	58	100041000	1129000	287500	87.0	0.0	13.0	研修施設の新設、研修用教材ソフトウエアの購入、新規ゲームタイトルとIP（知的財産権）キャラクター制作にかかる開発費、システム開発、長期借入金の返済、残額は本社移転の引っ越し費用	1490280000	71.4	62.1	9.3	0	0	1.3	21.4	0	"佐藤　昌平	代表取締役社長CEO	626400	60.3
オリックス10号	ベンチャーキャピタル（ファンド）	80000	7.7
SMBCキャピタル８号	ベンチャーキャピタル（ファンド）	66600	6.4
長岡　裕二	常務取締役執行役員	55000	5.3
由佐　秀一郎	取締役執行役員	41000	4.0
信金キャピタル二号	ベンチャーキャピタル（ファンド）	40000	3.9
ジャフコV2共有	ベンチャーキャピタル（ファンド）	35200	3.4
エクストリーム	自己株式	14200	1.4
半谷　智之	監査役	8000	0.8
高田　哲治	従業員	7200	0.7
鈴木　俊之	従業員	6200	0.6
佐藤　佳子	代表取締役社長の配偶者	6000	0.6
佐藤　京平	代表取締役社長の血族	6000	0.6
佐藤　朋美	代表取締役社長の血族	6000	0.6"
3904	カヤック	マザーズ	情報・通信業	A	2014/12/25	530	560	1300	1803	530	560	柳沢 大輔／1974年生	40	2005	200	146	235000000	7514000	1585800	62.4	24.6	13.0	ゲームユーザー向けコミュニティーの新機能開発、広告宣伝費、組織拡大のための採用費	3982420000	88.3	88.1	0.2	0	0	1.0	6.6	0	"柳沢 大輔	代表取締役CEO	2200000	32.3
貝畑　政徳	代表取締役CTO	1900000	27.9
久場　智喜	代表取締役CBO	1900000	27.9
Globis Fund III	ベンチャーキャピタル（ファンド）	234000	3.4
サイバーエージェント	ベンチャーキャピタル（ファンド）	150000	2.2
スタートトゥデイ	取引先	75000	1.1
Globis Fund III (B)	ベンチャーキャピタル（ファンド）	66000	1.0
藤川　綱司	取締役	11100	0.2
庄司　容崇	従業員	11100	0.2
原田　良修	従業員	11100	0.2
片岡　巧	従業員	11100	0.2
嶋田　俊宏	従業員	11100	0.2
藤原　秀樹	従業員	11100	0.2"
7815	東京ボード工業	東証2部	その他製品	C	2014/12/25	2180	2180	2180	2005	1980	2180	井上　弘之／1966年生	48	1947	182	60	221000000	3660369	520000	19.2	69.2	11.5	品質別木材チップ貯蔵サイロの増設、借入金の返済	7979604420	37.6	34.9	2.7	0	0	0	0.8	0	"東京ボード工業	自己株式	1200025	32.8
井上  弘之	代表取締役社長	744543	20.3
Ｔ・Ｂ・Ｈ	役員らが議決権の過半数を所有する会社	535535	14.6
セイホク	特別利害関係者など	270000	7.4
鈴木  吉助	取締役会長	98250	2.7
従業員持ち株会	特別利害関係者など	79250	2.2
ＪＫホールディングス	取引先	78070	2.1
みずほ銀行	取引先	50000	1.4
三菱東京ＵＦＪ銀行	取引先	50000	1.4
太田  稔	特別利害関係者など	50000	1.4
伊藤忠建材	取引先	30000	0.8
住友林業	取引先	30000	0.8
双日建材	取引先	30000	0.8
トーヨーマテリア	取引先	30000	0.8
丸紅建材	取引先	30000	0.8
みずほ成長支援	ベンチャーキャピタル（ファンド）	30000	0.8"
3905	データセクション	マザーズ	情報・通信業	B	2014/12/24	460	520	900	900	460	520	沢　博史／1969年生	45	2000	26	42	201985000	9342500	2541500	33.4	53.5	13.0	人員採用費と人件費	4297550000	55.4	18.1	37.3	0	0	0	14.2	2.5	"沢　博史	代表取締役社長CEO	1945000	18.1
橋本　大也	取締役会長CIO	1560000	14.5
池上　俊介	取締役CTO	1231000	11.5
林　健人	取締役COO	1211000	11.3
ユナイテッド	特別利害関係者など	800000	7.5
ジャフコ・スーパーV3共有	ベンチャーキャピタル（ファンド）	750000	7.0
日本生命保険	特別利害関係者など	675000	6.3
三生５号	ベンチャーキャピタル（ファンド）	500000	4.7
TBSイノベーション・パートナーズ	ベンチャーキャピタル（ファンド）、資本業務提携先	270000	2.5
デジタル・アドバタイジング・コンソーシアム	資本業務提携先	270000	2.5"
3221	ヨシックス	JASDAQスタンダード	小売業	B	2014/12/24	2490	2640	3200	3415	2490	2640	吉岡　昌成／1954年生	60	1985	404	99	44050000	2475000	431200	52.2	34.8	13.0	新規出店資金	6162750000	65.0	62.6	2.4	0	0	0.9	0	0	"吉岡　昌成	代表取締役社長	950000	40.2
(有)吉岡	特別利害関係者など	755000	31.9
吉岡　光代	代表取締役社長の配偶者	430000	18.2
吉岡　裕太郎	代表取締役社長の長男、常務取締役	100000	4.2
瀬川　雅人	専務取締役	50000	2.1
渥美　俊彦	従業員	15000	0.6
渡辺　竜二	取締役	7500	0.3
稲田　拓也	従業員	2500	0.1
伊藤　政義	従業員	2500	0.1
山田　真士	従業員	2500	0.1"
3199	綿半ホールディングス	東証2部	小売業	C	2014/12/24	640	640	592	680	540	640	野原　莞爾／1944年生	70	1949	934	239	430000000	9500000	2771500	50.5	36.4	13.0	ホームセンター事業の出店資金	6080000000	19.8	19.8	0	0	0	0	3.7	0	"野原　莞爾	代表取締役社長	1200200	14.8
グループ従業員持ち株会	特別利害関係者等	1035700	12.8
野原　龍生	取締役、子会社の代表取締役社長	402600	5.0
八十二銀行	特別利害関係者等	400000	4.9
元旦ビューティ工業	特別利害関係者等	300000	3.7
八十二キャピタル	ベンチャーキャピタル（ファンド）	300000	3.7
野原産業	特別利害関係者等	291300	3.6
ヤマウラ	特別利害関係者等	250000	3.1
秋田　叔彦	子会社の監査役	181400	2.2
みずほ銀行	特別利害関係者等	125000	1.5"
6032	インターワークス	マザーズ	サービス業	B	2014/12/22	1720	1750	2600	2043	1720	1750	雨宮　玲於奈／1975年生	39	1999	181	65	990000000	4780000	1058000	25.5	61.4	13.0	システム投資、広告宣伝費、人材採用費と人件費	8221600000	6.0	1.2	4.8	0	0	0	65.0	0	"アミューズキャピタル	ベンチャーキャピタル（ファンド）	2758000	56.1
アミューズキャピタルインベストメント	ベンチャーキャピタル（ファンド）	440000	8.9
インターワークス	自己株式	322500	6.6
有馬　誠	特別利害関係者等	232000	4.7
中山　晴喜	特別利害関係者等	200000	4.1
神村　昌志	取締役	84000	1.7
星　幸宏	取締役	66000	1.3
雨宮　玲於奈	代表取締役社長	60000	1.2
中村　俊一	取締役	50000	1.0
松原　浩幸	特別利害関係者等	44000	0.9
河村　直人	取締役会長	40000	0.8
Ｉ＆Ｉ・Ｊ社員持ち株会	特別利害関係者等	40000	0.8
吉崎　剛史	特別利害関係者等	40000	0.8
竹川　忠徳	特別利害関係者等	40000	0.8
早川　与規	特別利害関係者等	40000	0.8"
9517	イーレックス	マザーズ	電気・ガス業	A	2014/12/22	1120	1170	1700	1301	1120	1170	渡辺　博／1931年生	83	1999	45	59	990000000	13031000	4600000	87.0	0.0	13.0	新バイオマス発電所建設に伴う設備資金と運転資金、交付金受領までの増加運転資金	14594720000	5.2	5.2	0	0	0	0	45.8	0	"四条２号投資組合	ベンチャーキャピタル（ファンド）	1700000	17.2
IE＆Shijo投資組合	ベンチャーキャピタル（ファンド）	1340000	13.6
阪和興業	特別利害関係者等	1245000	12.6
Nittan Capital Company	ベンチャーキャピタル（ファンド）	1181000	11.9
上田八木短資	特別利害関係者等	1145000	11.6
太平洋セメント	特別利害関係者等	730000	7.4
(有)ダブリュウ、アイ、テイ、ビル	特別利害関係者等	375000	3.8
四条１号投資組合	ベンチャーキャピタル（ファンド）	305000	3.1
本名　均	代表取締役副社長、子会社取締役	266000	2.7
渡辺　博	代表取締役社長、子会社取締役	250000	2.5
日立製作所	特別利害関係者等	250000	2.5
東芝	特別利害関係者等	200000	2.0"
6031	サイジニア	マザーズ	サービス業	A	2014/12/19	2280	2560	10000	5780	2280	2560	吉井 伸一郎／1971年生	43	2005	25	50	388461000	1966097	453600	57.0	30.0	13.0	サーバーなどの設備投資、データセンターの利用料、通信回線料、オフィス移転・構築の費用、広告枠費用など売り上げ回収までの運転資金	4482701160	28.5	17.1	11.4	0	0	4.4	41.5	4.2	"DCM V	ベンチャーキャピタル（ファンド）	652800	33.5
吉井　伸一郎	代表取締役社長	255600	13.1
ソフトバンク	特別利害関係者など	232320	11.9
北城　恪太郎	取締役	135780	7.0
吉村　真弥	取締役執行役員CIO	85800	4.4
寒河江　道博	従業員など	85200	4.4
京セラコミュニケーションシステム	業務提携先	82086	4.2
NTTインベストメント・パートナーズファンド	ベンチャーキャピタル（ファンド）	77400	4.0
RIP2号R&D	ベンチャーキャピタル（ファンド）	77400	4.0
福井　敦	取締役執行役員副社長	48150	2.5
木戸　貴司	取締役執行役員社長室長	29700	1.5
ソフトバンク・テクノロジー	特別利害関係者など	27156	1.4"
