コード	企業名	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
4265	Institution for aGlobal Society	2021/12/29	1660	1720	2200	2002	1660	1720	福原 正大（上場時51歳11カ月）／1970年生	51	2010	41	18	59901000	4296000	2202500	14.5	72.4	13.0	採用費・人件費、システム開発、広告宣伝費、弁護士費用	7131360000	14.43	14.43	0	0	0	0	49.769999999999996	0	"UTEC3号投組	ベンチャーキャピタル（ファンド）	762000	17.59
福原正大	代表取締役社長	625000	14.43
TUSｷｬﾋﾟﾀﾙ1号投組	ベンチャーキャピタル（ファンド）	571000	13.18
みやこ京大ｲﾉﾍﾞｰｼｮﾝ投組	ベンチャーキャピタル（ファンド）	428500	9.89
慶応ｲﾉﾍﾞｰｼｮﾝ･ｲﾆｼｱﾃｨﾌﾞ1号投組	ベンチャーキャピタル（ファンド）	394500	9.11
岩永泰典	特別利害関係者など	325000	7.5
(株)ｳｨｻﾞｽ	特別利害関係者など	290000	6.69
船野智輝	新株予約権信託の受託者	232500	5.37
(株)KEIｱﾄﾞﾊﾞﾝｽ	特別利害関係者など	175500	4.05
(学)河合塾	特別利害関係者など	100000	2.31
谷家衛	特別利害関係者など	75000	1.73"
4264	セキュア	2021/12/27	870	950	3000	2185	870	950	谷口 辰成（上場時45歳2カ月）／1976年生	45	2002	95	17	294000000	4590620	769300	58.4	28.6	13.0	採用費・人件費・教育費、研究開発費、広告宣伝費	3993839400	51.949999999999996	51.949999999999996	0	0	0	0	8.350000000000001	0	"(同)LYON	役員らが議決権の過半数を所有する会社	1339500	30.44
谷口辰成	代表取締役社長	495000	11.25
谷口喆成	代表取締役社長の血族、従業員	451500	10.26
谷口才成	代表取締役社長の血族、従業員、子会社の役員	450000	10.22
CBC(株)	取引先	228000	5.18
ｸﾞﾛｰﾊﾞﾙ･ﾀｲｶﾞｰ･ﾌｧﾝﾄﾞ3号投組	ベンチャーキャピタル（ファンド）	217620	4.94
(株)ﾌﾞﾛｰﾄﾞﾊﾞﾝﾄﾞﾀﾜｰ	特別利害関係者など	150000	3.41
i-nest1号投組	ベンチャーキャピタル（ファンド）	150000	3.41
(株)東邦銀行	特別利害関係者など	120000	2.73
(株)KAWASHIMA	特別利害関係者など	120000	2.73"
4261	アジアクエスト	2021/12/27	2370	2430	5600	5600	2370	2430	桃井 純（上場時51歳7カ月）／1970年生	51	2012	239	4	135000000	1400000	437000	52.6	34.3	13.0	設備資金、借入金返済、人件費・労務費など運転資金	3318000000	76.66	73.33	3.3299999999999996	0	0	0.96	0	21.46	"桃井純	代表取締役社長	528300	41.73
JHDｱｾｯﾄﾏﾈｼﾞﾒﾝﾄ(株)	役員らが議決権の過半数を所有する会社	400000	31.6
ｽﾀｰﾃｨｱﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本業務提携先	260000	20.54
西野伸一郎	取締役	24000	1.9
岩崎友樹	取締役	14000	1.11
西日本電信電話(株)	資本業務提携先	11700	0.92
屋野祐	従業員	4000	0.32
外谷悠一郎	取締役	4000	0.32
小畠芳紀	従業員	4000	0.32
伊藤晶子	従業員	4000	0.32"
2993	長栄	2021/12/24	1890	1800	1700	1656	1700	1800	長田 修（上場時72歳10カ月）／1949年生	72	1988	248	38	169110000	4466300	1242000	62.8	24.2	13.0	賃貸用不動産の取得、借入金の返済	8441307000	90.84	88.2	2.64	0	0	0	0	0	"長田修	代表取締役社長	1970000	48.82
長田久美子	代表取締役社長の配偶者	1144000	28.35
OSAﾌｨｰﾙﾄﾞ(株)	役員らが議決権の過半数を所有する会社	365000	9.05
長田栄臣	代表取締役社長の血族	80000	1.98
山本光伸	専務取締役など	29900	0.74
舩井渉	常務取締役など	28800	0.71
寺田直樹	取締役	15900	0.39
田中直樹	執行役員	12500	0.31
糸井邦広	執行役員	11000	0.27
松本尚視	執行役員	9000	0.22"
9258	CS-C	2021/12/24	900	1010	1100	1205	910	1010	椙原 健（上場時45歳1カ月）／1976年生	45	2011	141	2	50000000	6250000	2156200	58.0	29.0	13.0	販売促進費、設備投資、採用費・人件費、借入金の返済	5625000000	90.73	89.89	0.8400000000000001	0	0	0.27	0	0	"(株)ｽﾏｲﾙﾌﾟﾗｽ	役員らが議決権の過半数を所有する会社	3000000	53.93
椙原健	代表取締役社長	2000000	35.96
(税)NYAccountingPartners	新株予約権の受託者	500000	8.99
森田大輔	取締役	12500	0.22
宇田川政幸	取締役	12500	0.22
河野圭介	取締役	12500	0.22
林宏一	取締役	10000	0.18
森崎明生	従業員	5000	0.09
武川良徳	従業員	5000	0.09
前之園哲嗣	従業員	5000	0.09"
4263	サスメド	2021/12/24	1310	1410	1297	1500	1310	1410	上野 太郎（上場時41歳0カ月）／1980年生	41	2015	21	16	100000000	15547600	2981900	76.8	10.1	13.0	研究開発資金、人材投資、オフィススペース拡張	20367356000	53.1	48.2	4.9	0	0	0	23.7	8.2	"上野太郎	代表取締役社長	7000000	48.2
Beyond Next Ventures1号投組	ベンチャーキャピタル（ファンド）	2275000	15.7
SBI AI&Blockchain投組	ベンチャーキャピタル（ファンド）	1166900	8.0
(株)ｽｽﾞｹﾝ	資本業務提携先	700000	4.8
第一生命保険(株)	特別利害関係者など	583100	4.0
市川太祐	取締役	409500	2.8
本橋智光	取締役ＣＴＯ	301700	2.1
住友商事(株)	資本業務提携先	245000	1.7
ｻﾜｲｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本業務提携先	245000	1.7
ｿﾆｰｸﾞﾙｰﾌﾟ(株)	特別利害関係者など	166600	1.2
東京ｾﾝﾁｭﾘｰ(株)	特別利害関係者など	166600	1.2"
9211	エフ・コード	2021/12/24	1820	2020	8000	6000	1860	2020	工藤 勉（上場時38歳5カ月）／1983年生	38	2006	21	27	148464000	2049100	183600	54.5	32.5	13.0	採用費・人件費、広告宣伝費・販売手数料、ソフトウエア開発費用	3729362000	72.93	59.29	13.64	0	0	1.88	0	0	"工藤勉	代表取締役社長	1323300	59.29
梅沢康二	監査役	118500	5.31
荒井裕希	取締役	110400	4.95
(株)ﾏｲﾅﾋﾞ	特別利害関係者など	100800	4.52
(株)ﾘｳﾞｧﾝﾌﾟ	特別利害関係者など	95100	4.26
平井隆仁	取締役	69600	3.12
須合聡	執行役員	65100	2.92
長島毅	特別利害関係者など	48000	2.15
衣笠槙吾	執行役員	31500	1.41
大山卓也	特別利害関係者など	30000	1.34
山崎晋一	取締役	27600	1.24
門田芳典	特別利害関係者など	24900	1.12
佐野瑞生	従業員	22200	0.99
中村学	従業員	19800	0.89
曽我健	特別利害関係者など	19500	0.87"
9259	タカヨシ	2021/12/24	1490	1560	1700	1700	1490	1560	髙品 政明（上場時75歳5カ月）／1946年生	75	1970	91	34	50000000	5200000	1627200	55.3	31.6	13.0	店舗設備への投資、IT資産への投資	7748000000	85.05000000000001	82.51	2.54	0	0	0	0	0	"(株)ｽﾌﾟﾘﾝｸﾞ	役員らが議決権の過半数を所有する会社	2673000	56.51
高品政明	代表取締役社長	728000	15.39
高品謙一	代表取締役社長の血族	212000	4.48
高品佳代	代表取締役社長の配偶者	152000	3.21
(株)千葉銀行	特別利害関係者など	110000	2.33
剱持健	代表取締役専務	88000	1.86
大森広美	取締役	60000	1.27
曽根田博	取締役	60000	1.27
沢幡良和	特別利害関係者など	60000	1.27
佐藤美智子	代表取締役社長の血族	50000	1.06
(株)千葉興業銀行	特別利害関係者など	50000	1.06"
4262	ニフティライフスタイル	2021/12/24	1970	2000	1840	1800	1940	2000	成田 隆志（上場時44歳7カ月）／1977年生	44	2018	57	1	100000000	6250000	2415000	51.8	35.2	13.0	広告宣伝費、人件費・採用費、ソフトウエア開発費用	12312500000	99.23	0.49	1.5500000000000003	0	97.19	0.11	0	0	"ﾆﾌﾃｨ(株)	親会社	5000000	97.19
成田隆志	代表取締役社長(兼)社長執行役員など	25000	0.49
広田朋美	取締役(兼)常務執行役員など	19000	0.37
松沢尚樹	取締役(兼)執行役員	17600	0.34
野島亮司	取締役	17500	0.34
西慶一郎	執行役員	8000	0.16
井口康弘	執行役員	7000	0.14
伊藤清一	従業員	5500	0.11
守谷和俊	取締役(兼)執行役員など	5000	0.1
深山達郎	執行役員	5000	0.1"
9212	Green EarthInstitute	2021/12/24	1060	1160	990	1160	1060	1160	伊原 智人（上場時53歳8カ月）／1968年生	53	2011	30	27	773100000	10063000	4416200	21.3	65.7	13.0	設備投資、運転資金	10666780000	8.38	5.78	2.6	0	0	0	33.54	0	"UTEC 2号投組	ベンチャーキャピタル（ファンド）	1857000	17.88
(公財)地球環境産業技術研究機構	特許権実施許諾など事業提携先	1800000	17.33
伊原智人	代表取締役社長	600000	5.78
PNB-INSPiRE Ethical Fund 1投組	ベンチャーキャピタル（ファンド）	486000	4.68
ﾆｯｾｲ･ｷｬﾋﾟﾀﾙ5号投組	ベンチャーキャピタル（ファンド）	459000	4.42
DIC(株)	取引先	417000	4.01
UMI 1号投組	ベンチャーキャピタル（ファンド）	402000	3.87
ｴｱ･ｳｫｰﾀｰ(株)	取引先	300000	2.89
(株)新生銀行	金融商品取引業者等	279000	2.69
川嶋浩司	取締役COO	270000	2.6
(株)ｷｬﾈｯﾄ	特別利害関係者など	240000	2.31
電源開発(株)	取引先	240000	2.31"
