コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
9268	オプティマスグループ	東証2部	卸売業	B	2017/12/26	1710	1800	2500	2001	1710	1800	山中 信哉 （上場時57歳10カ月）／1960年生	57	2015	22	7	157829000	5293125	1852800	14.6	72.4	13.0	ニュージーランドでの自動車ローンの貸付金、検査設備や情報機器などの取得、検査拠点の開設	9051243750	94.8	40.7	54.1	0	0	2.2	0	0	"山中 信哉	代表取締役社長、子会社の取締役	2204190	40.7
ﾃﾞｲﾓﾝ･ｽｺｯﾄ･ｼﾞｬｸｿﾝ	取締役、子会社の取締役	911460	16.8
ﾛﾊﾞｰﾄ･ｱﾝﾄﾞﾘｭｰ･ﾔﾝｸﾞ	取締役、子会社の取締役	882830	16.3
ﾏｰﾃｨﾝ･ﾌﾚｲｻﾞｰ･ﾏｯｶﾗｯｸ	取締役、子会社の取締役	882830	16.3
ﾋﾟｰﾀｰ･ｹﾈｽ･ｼﾞｮﾝｽﾄﾝ	子会社の取締役	72215	1.3
福村 康一	取締役、子会社の取締役	59920	1.1
笠原 義隆	取締役（監査等委員）、子会社の取締役	59920	1.1
篠原 正裕	従業員	59920	1.1
吉田 浩	従業員	59920	1.1
山中 玲子	子会社の取締役	34500	0.6
ｼﾞｬｸｿﾝ 美千代	取締役の配偶者	34500	0.6"
6565	ABホテル	JASDAQスタンダード	サービス業	B	2017/12/25	1400	1500	3300	3060	1400	1500	沓名 一樹 （上場時37歳9カ月）／1980年生	37	2014	18	2	700000000	6980000	828000	31.4	55.6	13.0	新規出店の設備投資	9772000000	99.8	99.8	0.0	0	0	0.0	0	0	"(株)東祥	役員らが議決権の過半数を所有する会社、親会社	4200000	62.2
AB開発(同)	役員らが議決権の過半数を所有する会社	2520000	37.3
沓名 一樹	代表取締役社長	20000	0.3
山下 裕輔	取締役	2000	0.0
安藤 翔二郎	取締役	2000	0.0
中川 亮	従業員	2000	0.0
大津 玄	取締役	1000	0.0
杉山 益彦	従業員	1000	0.0
吉原 一成	従業員	1000	0.0
寺田 幸祐	従業員	1000	0.0"
6566	要興業	東証2部	サービス業	B	2017/12/25	700	750	900	950	700	750	藤居 秀三 （上場時73歳0カ月）／1944年生	73	1973	377	33	247970000	15200000	5147700	38.9	48.1	13.0	車両基地集約に向けた不動産取得やリサイクルセンターの拡張建設、第2工場新設に対する協業化を目的とする出資金	10640000000	25.5	25.5	0	0	0	0	0	0	"藤居 秀三	代表取締役社長	3320000	23.4
社員持ち株会	特別利害関係者など	3063700	21.6
(株)要興業	自己株式	1000000	7.0
日本生命保険(相)	特別利害関係者など	950000	6.7
大星ﾋﾞﾙ管理(株)	特別利害関係者など	850000	6.0
大星ﾋﾞﾙﾒﾝﾃﾅﾝｽ(株)	特別利害関係者など	850000	6.0
藤居 千恵子	特別利害関係者など	506300	3.6
藤居 幸弥	特別利害関係者など	370000	2.6
荒井 昇	特別利害関係者など	300000	2.1
中島 和子	代表取締役社長の血族	300000	2.1
(株)三菱東京UFJ銀行	取引先	300000	2.1"
6564	ミダック	名証2部	サービス業	C	2017/12/22	1250	1300	1500	2000	1200	1300	矢板 橋一志 （上場時53歳8カ月）／1964年生	53	1964	168	24	273640000	3258500	381800	47.7	39.3	13.0	設備投資や修繕費、運搬車両など	4073125000	76.1	39.9	36.2	0	0	0	2.4	0	"(株)ﾌｫﾝｽｱｾｯﾄﾏﾈｼﾞﾒﾝﾄ	役員らが議決権の過半数を所有する会社	1050000	34.0
熊谷 勝弘	専務取締役の血族	736000	23.8
従業員持ち株会	特別利害関係者など	211500	6.8
熊谷 裕之	専務取締役	194500	6.3
高橋 由起子	専務取締役の血族	190000	6.1
矢板橋 一志	代表取締役社長	182500	5.9
名古屋中小企業投資育成	ベンチャーキャピタル（ファンド）	75000	2.4
(株)三菱東京UFJ銀行	取引先	75000	2.4
(株)静岡銀行	取引先	65000	2.1
浜松信用金庫	取引先	50000	1.6"
7199	プレミアグループ	東証2部	その他金融業	B	2017/12/21	2260	2320	2300	2220	2260	2320	柴田 洋一 （上場時57歳11カ月）／1959年生	58	2015	52	50	50000000	6060000	5566000	1.1	85.9	13.0	システムの開発・改修・導入	13695600000	1.7	0	1.7	0	0	0.6	80.3	4.4	"AZ-Star1号投組	ベンチャーキャピタル（ファンド）	5506000	80.3
(株)ﾘｸﾙｰﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ	資本業務提携先	300000	4.4
柴田 洋一	代表取締役社長代表執行役員、子会社の役員	281000	4.1
金沢 友洋	子会社の役員、上席執行役員	78700	1.1
大貫 徹	取締役常務執行役員	62000	0.9
土屋 佳之	取締役	58000	0.8
斉藤 邦雄	子会社の役員、従業員	51000	0.7
中谷 敏之	子会社の役員、執行役員	33000	0.5
太田 航	子会社の役員、従業員	29000	0.4
山村 広臣	子会社の役員、執行役員	16000	0.2
北田 剛	子会社の役員、従業員	16000	0.2
倉田 千秋	従業員	14000	0.2
木下 弘三	従業員	14000	0.2
村田 尚俊	従業員	14000	0.2"
6235	オプトラン	東証1部	機械	A	2017/12/20	1460	1460	2000	2436	1420	1460	林 為平 （上場時60歳9カ月）／1957年生	60	1999	67	59	400000000	44358000	8280000	50.7	36.2	13.0	短期借入金の返済	64762680000	9.7	9.7	0	0	0	0	9.1	0	"(株)ｵﾌﾟﾄﾗﾝ	自己株式	8730000	18.3
浙江水晶光電科技	その他の関係会社	7260000	15.2
(株)ｱﾙﾊﾞｯｸ	その他の関係会社	6450000	13.5
孫 大雄	代表取締役会長	3540000	7.4
JSR(株)	取引先	3000000	6.3
大和PIﾊﾟｰﾄﾅｰｽﾞ(株)	ベンチャーキャピタル（ファンド）	3000000	6.3
Cernobbio Investment	ベンチャーキャピタル（ファンド）	1338000	2.8
肖 連豊	特別利害関係者など	1338000	2.8
理研電線(株)	特別利害関係者など	1275000	2.7
林 為平	代表取締役社長執行役員	1110000	2.3"
4249	森六ホールディングス	東証1部	化学	B	2017/12/20	2610	2700	3000	2975	2610	2700	三輪 繁信 （上場時69歳7カ月）／1948年生	69	1916	46	254	1640100000	16960000	3910000	31.4	55.5	13.0	成形・塗装ラインの増設、成形機などでの自動化・効率化への投資、システム投資	44265600000	3.1	0	3.1	0	0	0	0	0	"森六ﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	自己株式	2152702	12.7
従業員持ち株会	特別利害関係者など	1815006	10.7
三井化学(株)	取引先	1416000	8.3
三井物産(株)	取引先	1128000	6.7
森 茂	取締役相談役、取締役の血族	1076560	6.3
本田技研工業(株)	取引先	792000	4.7
(株)三井住友銀行	取引先	530000	3.1
(株)りそな銀行	取引先	530000	3.1
森 俊武	特別利害関係者など	526144	3.1
(株)阿波銀行	取引先	526000	3.1
井染 敏子	取締役の血族	524476	3.1"
6563	みらいワークス	マザーズ	サービス業	B	2017/12/19	1590	1840	5000	6080	1700	1840	岡本 祥治 （上場時41歳3カ月）／1976年生	41	2012	28	16	20000000	1170000	239600	71.0	18.4	10.7	人材の採用育成費などの運転資金、ソフトウエア開発のための委託費と人件費、オフィス移転費用	1860300000	68.6	67.4	1.2	0	0	0	0.8	0	"岡本 祥治	代表取締役社長	740000	63.9
佐藤 卓也	元代表取締役	220000	19.0
(株)中田康雄事務所	役員らが議決権の過半数を所有する会社	40000	3.5
(株)MAM	特別利害関係者など	30000	2.6
稲津 暢	特別利害関係者など	15000	1.3
品川 広志	監査役	15000	1.3
(株)ｲﾝﾌｷｭﾘｵﾝ･ｸﾞﾙｰﾌﾟ	特別利害関係者など	10000	0.9
西村 裕二	特別利害関係者など	10000	0.9
丸山 和美	特別利害関係者など	5000	0.4
吉沢 宏延	特別利害関係者など	5000	0.4
(株)ｲﾝｽﾊﾟｲｱ ｱﾝﾘﾐﾃｯﾄﾞ	特別利害関係者など	5000	0.4
三木 浩	取締役	5000	0.4
武永 修一	特別利害関係者など	5000	0.4
IGNiTE PARTNERS(株)	ベンチャーキャピタル（ファンド）	5000	0.4
倉森 和幸	特別利害関係者など	5000	0.4
(株)MIDﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ	ベンチャーキャピタル（ファンド）	5000	0.4
松永 祐	取締役	5000	0.4
渡辺 良司	取締役	5000	0.4"
3540	歯愛メディカル	JASDAQスタンダード	卸売業	B	2017/12/18	3210	3300	3300	4030	3210	3300	清水 清人 （上場時57歳2カ月）／1960年生	57	2000	179	2	10000000	10000000	1100000	0.0	90.9	9.1	-	32100000000	60.0	60.0	0	0	0	0	0	0	"清水 清人	代表取締役社長	6000000	60.0
エア・ウォーター(株)	その他の関係会社	4000000	40.0"
3999	ナレッジスイート	マザーズ	情報・通信業	B	2017/12/18	2000	2000	6000	5010	1800	2000	稲葉 雄一 （上場時49歳7カ月）／1968年生	49	2006	49	12	376820000	2377400	339200	70.8	16.2	13.0	開発人件費、広告宣伝費、サーバーなどの増強、オフショア開発拠点の準備費用、本社移転費用	4754800000	49.6	34.7	14.9	0	0	0	10.1	0	"稲葉 雄一	代表取締役社長	701800	30.4
KDDI(株)	特別利害関係者など	350000	15.2
ｽﾀｰﾃｨｱ(株)	特別利害関係者など	226000	9.8
ｼﾞｪｲｽﾞ･ｺﾐｭﾆｹｰｼｮﾝ(株)	特別利害関係者など	166000	7.2
ｼﾞｬﾌｺ･ｽｰﾊﾟｰV3共有投組	ベンチャーキャピタル（ファンド）	166000	7.2
飯岡 晃樹	取締役	116800	5.1
岡原 達也	取締役	113000	4.9
柳沢 貴志	取締役	113000	4.9
稲葉 貴美子	代表取締役社長の配偶者	100000	4.3
DBJｷｬﾋﾟﾀﾙ投組	ベンチャーキャピタル（ファンド）	66000	2.9"
