コード	企業名	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
4428	リンク	2018/12/25	3110	3580	4500	7620	3380	3580	南谷 浩 （上場時64歳2カ月）／1954年生	64	1987	58	40	70885000	1152400	285200	56.1	30.9	13.0	研究開発費・ソフトウエア制作費、人材採用費・人件費、知的財産取得費	3583964000	84.4	84.4	0	0	0	0.57	0	0	"(同)南谷ﾎｰﾙﾃﾞｨﾝｸﾞｽ	役員らが議決権の過半数を所有する会社	400000	37.85
南谷 純	代表取締役社長の血族	140000	13.25
南谷 のどか	代表取締役社長の血族、従業員	100000	9.46
加藤 めぐみ	代表取締役社長の血族	100000	9.46
南谷 清江	代表取締役社長の配偶者	80000	7.57
南谷 浩	代表取締役社長	72000	6.81
情報技術開発(株)	取引先	20000	1.89
(株)日本ｱｸｾｽ	取引先	20000	1.89
社員持ち株会	特別利害関係者など	8000	0.76
西巻 昌美	特別利害関係者など	6000	0.57
永山 友和	従業員	6000	0.57"
7330	レオス・キャピタルワークス	2023/04/25	1400	1300	1300	1730	1100	1300	藤野 英人（上場時56歳7カ月）／1966年生	52	2003	114	11	100000000	12374300	3700000	9.7	77.3	13.0	システム投資、運転資金	17324020000	67.72	18.520000000000003	1.4	0	47.8	2.2600000000000002	0	0	"SBIﾌｧｲﾅﾝｼｬﾙｻｰﾋﾞｼｰｽﾞ(株)	親会社	6161700	47.8
(株)ISﾎｰﾙﾃﾞｨﾝｸﾞｽ	その他の関係会社	3051000	23.67
遠藤昭二	その他の関係会社の代表取締役社長	1427300	11.07
藤野英人	代表取締役会長兼社長など	540000	4.19
湯浅光裕	代表取締役副社長	420500	3.26
遠藤美樹	常務取締役	180000	1.4
(株)3A	特別利害関係者など	179500	1.39
五十嵐毅	従業員	81200	0.63
渡辺庄太	従業員	71000	0.55
高橋修	従業員	70000	0.54
吉原英	従業員	70000	0.54"
7048	ベルトラ	2018/12/25	360	384	430	514	360	384	二木 渉 （上場時47歳8カ月）／1971年生	47	1991	142	15	176070000	28110000	3588000	41.8	45.2	13.0	システム開発費、販促費、採用・育成費	10119600000	10.27	7.62	2.65	0	0	0	39.73	0	"Paxalan S.a&#768; r.l.	ベンチャーキャピタル（ファンド）	9810000	35.11
斉藤 精良	監査役、元代表取締役会長	4260000	15.25
(株)ﾌﾟﾚﾝﾃｨｰ	特別利害関係者など	3770000	13.49
永島 徹三	特別利害関係者など	3270000	11.7
二木 渉	代表取締役社長兼CEO	2130000	7.62
渋谷 剛	特別利害関係者など	1430000	5.12
SBI Ventures Two(株)	ベンチャーキャピタル（ファンド）	1090000	3.9
万年 良子	取締役	510000	1.83
倉上 智晴	取締役	230000	0.82
ﾏﾙﾀｽｲﾝﾍﾞｽﾄﾒﾝﾄ1号投組	ベンチャーキャピタル（ファンド）	200000	0.72"
4427	EduLab	2018/12/21	2800	3200	4000	3270	2800	3200	高村 淳一 （上場時54歳11カ月）／1963年生	55	2015	32	10	631209000	8474600	1656100	56.3	30.7	13.0	ソフトウエア開発費、人件費、外注費	23728880000	80.11	63.77	16.34	0	0	0	3.13	0	"高村 淳一	代表取締役社長CEO、子会社の代表取締役	3190000	37.24
松田 浩史	代表取締役副社長COO、子会社の取締役	1510000	17.63
林 規生	取締役、子会社の取締役	800000	9.34
曽我 晋	取締役、子会社の取締役	600000	7.0
(株)NTTﾄﾞｺﾓ	特別利害関係者など	429200	5.01
関 伸彦	代表取締役副社長CFO、子会社の取締役	419600	4.9
(株)旺文社	特別利害関係者など	402800	4.7
(株)旺文社ｷｬﾋﾟﾀﾙ	ベンチャーキャピタル（ファンド）	268400	3.13
和田 周久	取締役副社長CMO、子会社の取締役	181200	2.12
北條 大介	取締役、子会社の代表取締役	161200	1.88"
7047	ポート	2018/12/21	1450	1480	1480	930	1420	1480	春日 博文 （上場時30歳9カ月）／1988年生	30	2011	149	15	290000000	11477150	3673600	20.4	66.5	13.0	人件費・採用教育費	16641867500	45.93	45.93	0	0	0	0	46.980000000000004	0	"春日 博文	代表取締役社長	4619660	40.08
JAPAN VENTURES I L.P.	ベンチャーキャピタル（ファンド）	2440110	21.17
SamuraiIncubateFund2号投組	ベンチャーキャピタル（ファンド）	1200000	10.41
ｸﾞﾛｰﾊﾞﾙ･ﾌﾞﾚｲﾝ5号投組	ベンチャーキャピタル（ファンド）	1039000	9.01
丸山 侑佑	取締役副社長	674740	5.85
三菱UFJｷｬﾋﾟﾀﾙ5号投組	ベンチャーキャピタル（ファンド）	211000	1.83
FinTechﾋﾞｼﾞﾈｽｲﾉﾍﾞｰｼｮﾝ投組	ベンチャーキャピタル（ファンド）	186000	1.61
SBIﾍﾞﾝﾁｬｰ企業成長支援3号投組	ベンチャーキャピタル（ファンド）	142860	1.24
SBIﾍﾞﾝﾁｬｰ企業成長支援4号投組	ベンチャーキャピタル（ファンド）	103430	0.9
SamuraiIncubateFund5号投組	ベンチャーキャピタル（ファンド）	93000	0.81"
7037	テノ．ホールディングス	2018/12/21	1900	1920	2200	2400	1870	1920	池内 比呂子 （上場時59歳8カ月）／1959年生	59	2015	24	10	90000000	1460000	402500	87.0	0.0	13.0	保育所建設費、什器設備費	2774000000	77.91	75.11	2.8	0	0	0.73	17.009999999999998	0	"(株)夢源	役員らが議決権の過半数を所有する会社	500000	42.54
池内 比呂子	代表取締役社長、子会社の取締役	382800	32.57
ｼﾞｬﾌｺSV4共有投組	ベンチャーキャピタル（ファンド）	150000	12.76
三菱UFJｷｬﾋﾟﾀﾙ5号投組	ベンチャーキャピタル（ファンド）	50000	4.25
土屋 悦子	取締役、子会社の取締役	9800	0.83
福士 泉	取締役、子会社の取締役	9800	0.83
吉野 晴彦	取締役	9000	0.77
古谷 勇樹	従業員	4600	0.39
平田 智美	子会社の取締役	4400	0.37
古賀 光雄	監査役	4000	0.34
田中 隆一	監査役、子会社の監査役	4000	0.34
清井 義文	子会社の従業員	4000	0.34"
6232	自律制御システム研究所	2018/12/21	3380	3400	3800	2830	3000	3400	太田 裕朗 （上場時42歳4カ月）／1976年生	42	2013	44	21	1546378000	10152105	2971200	30.3	56.7	13.0	製造関連費用、人件費・採用費、販促費、研究開発費	34314114900	26.33	4.98	21.349999999999998	0	0	0	42.06999999999999	0	"UTEC3号投組	ベンチャーキャピタル（ファンド）	2100000	19.93
野波 健蔵	取締役会長	1500000	14.23
楽天(株)	特別利害関係者など	1350000	12.81
(株)菊池製作所	特別利害関係者など	1050000	9.96
iGlobePlatinumFundII Pte. Ltd.	ベンチャーキャピタル（ファンド）	1000005	9.49
SMBC信託銀行特定運用金外信託口	ベンチャーキャピタル（ファンド）	833340	7.91
太田 裕朗	代表取締役社長	525000	4.98
鷲谷 聡之	取締役COO	375000	3.56
早川 研介	取締役CFO、CAO	375000	3.56
みずほ成長支援第2号投組	ベンチャーキャピタル（ファンド）	333330	3.16
千葉道場ﾄﾞﾛｰﾝ部1号投組	ベンチャーキャピタル（ファンド）	166680	1.58
五十嵐 恵美子	特別利害関係者など	150000	1.42
(株)ｱﾄｯｸｽ	特別利害関係者など	150000	1.42"
4424	Amazia	2018/12/20	1270	1320	2700	1756	1270	1320	佐久間 亮輔 （上場時40歳0カ月）／1978年生	40	2009	12	12	161472000	3258000	339800	70.6	16.3	13.0	広告宣伝費、採用費、人件費	4137660000	66.28999999999999	37.1	29.189999999999998	0	0	0	7.73	0	"佐久間 亮輔	代表取締役社長	1200000	37.1
江口 元昭	取締役CTO	840000	25.97
(株)ｼｰｴｰ･ﾓﾊﾞｲﾙ	特別利害関係者など	390000	12.06
(株)ﾒﾃﾞｨｱﾄﾞｩﾎｰﾙﾃﾞｨﾝｸﾞｽ	特別利害関係者など	150000	4.64
NVCC7号投組	ベンチャーキャピタル（ファンド）	132000	4.08
三菱UFJｷｬﾋﾟﾀﾙ4号投組	ベンチャーキャピタル（ファンド）	62000	1.92
(株)ｱﾄﾞｳｪｲｽﾞ	特別利害関係者など	60000	1.86
江口 弘尚	取締役の血族	60000	1.86
(株)VOYAGE VENTURES	ベンチャーキャピタル（ファンド）	56000	1.73
神津 光良	取締役CFO	44000	1.36
(株)ﾏｲﾅﾋﾞ	特別利害関係者など	44000	1.24
(株)ｾﾚｽ	特別利害関係者など	44000	1.24"
7671	AmidAホールディングス	2018/12/20	1440	1460	1900	1552	1440	1460	藤田 優 （上場時50歳2カ月）／1968年生	50	2000	10	14	10000000	2100000	592200	16.9	70.1	13.0	彫刻機にかかる設備資金、広告費	3024000000	99.32	98.38	0.94	0	0	0	0	0	"藤田 優	代表取締役社長CEO、子会社の取締役	1157600	57.88
藤田 英人	専務取締役COO、代表取締役の血族、子会社の取締役	390000	19.5
(株)Egg	役員らが議決権の過半数を所有する会社	200000	10.0
藤田 千鶴	代表取締役社長の配偶者	200000	10.0
藤田 滋	代表取締役社長の血族	10000	0.5
藤田 娃子	代表取締役社長の血族	10000	0.5
浅田 保行	取締役CFO、子会社の取締役	8200	0.41
糟谷 八千子	取締役執行役員CCO、子会社の取締役	6900	0.35
従業員持ち株会	特別利害関係者など	5000	0.25
森井 浩樹	子会社の取締役	3500	0.18"
4425	Kudan	2018/12/19	3260	3720	15000	14000	3260	3720	大野 智弘 （上場時49歳0カ月）／1969年生	49	2014	3	25	261355000	6866200	196500	62.6	24.4	13.0	人件費・採用費、本社移転費	22383812000	59.61	52.98	6.630000000000001	0	0	5.4	4.99	1.82	"大野 智弘	代表取締役	3780200	52.98
Jun Emi	特別利害関係者など	788000	11.04
John Williams	子会社の従業員	385600	5.4
飯塚 健	取締役CFO	283400	3.97
Net Capital Partners Limited	ベンチャーキャピタル（ファンド）	206000	2.89
美沢 臣一	取締役	190000	2.66
Ardian International Limited	ベンチャーキャピタル（ファンド）	150000	2.1
高橋 秀明	特別利害関係者など	150000	2.1
斉藤 誠	特別利害関係者など	150000	2.1
国際航業(株)	資本提携先	130000	1.82"
