コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
302A	ビースタイルホールディングス	東証グロース	サービス業	B	2024/12/27	1980	2070	2600	3325	1980	2070	三原 邦彦（上場時54歳5カ月）／1970年生	54	2020	56	21	119079000	1449600	655500	30.5	56.4	13.0	システム開発関連費、広告宣伝費	2870208000	64.5	51.1	13.4	0	0	0	0	0	"島田亨	ｴﾝｾﾞﾙ投資家	306000	22.9
(同)Original3	役員らが議決権の過半数所有	304900	22.8
(同)ﾌｧｰｽﾄ･ｽﾃｰｼﾞ	役員らが議決権の過半数所有	228500	17.1
三原邦彦	代表取締役社長（最高経営責任者）	150000	11.2
増村一郎	取締役会長（最高執行責任者）	150000	11.2
ﾋﾞｰ･ｽﾀｲﾙ従業員持株会	特別利害関係者など	38800	2.9
宮内修	子会社の元取締役	31300	2.3
加藤勝久	取締役	30000	2.2
松田充弘	元従業員	23100	1.7
中村浩史	子会社の元取締役	11700	0.9"
303A	visumo	東証グロース	情報・通信業	B	2024/12/26	750	770	1100	1036	750	770	井上 純（上場時38歳9カ月）／1986年生	38	2019	35	3	200000000	1637000	769300	17.8	69.2	13.0	採用費、増加人件費	1227750000	67.8	0.3	1.9	0	65.6	0.4	0	0	"(株)ｿﾌﾄｸﾘｴｲﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ	親会社	1000000	65.6
(株)ecbeing	その他の関係会社	475000	31.2
(株)ｲｰ･ｴｰｼﾞｪﾝｼｰ	甲斐真樹社外取締役が代表の会社	25000	1.6
井上純	代表取締役社長	4000	0.3
千林正太朗	取締役	3250	0.2
見城壮彦	取締役	2000	0.1
匿名1	従業員	2000	0.1
匿名2	従業員	1550	0.1
匿名3	従業員	1200	0.1
匿名4	従業員	1200	0.1"
304A	フォルシア	東証グロース	情報・通信業	B	2024/12/26	1700	1750	2500	3640	1700	1750	屋代 浩子（上場時59歳8カ月）／1965年生	59	2001	130	9	50000000	1200000	245000	81.6	5.3	13.0	採用費・人件費、インフラ費用	2040000000	83.7	80.5	3.2	0	0	0.5	0	0	"屋代哲郎	代表取締役COO	409800	41.0
屋代浩子	代表取締役社長	394900	39.5
ﾌｫﾙｼｱ社員持株会	特別利害関係者など	110200	11.0
山田尚紀	常務取締役	32000	3.2
ﾌｫﾙｼｱ役員持株会	特別利害関係者など	26400	2.6
谷本真一	監査役	10000	1.0
吉村龍吾	監査役	10000	1.0
西弘子	従業員	4700	0.5
近藤崇宏	元従業員	2000	0.2"
298A	GVA TECH	東証グロース	情報・通信業	B	2024/12/26	790	690	700	700	590	690	山本 俊（上場時41歳5カ月）／1983年生	41	2017	68	78	153268000	4620498	1305300	61.3	25.7	13.0	運転資金、広告宣伝費	3650193420	23.9	23.9	0	0	0	0	34.8	0	"山本俊	代表取締役社長	1044943	23.9
DBJｷｬﾋﾟﾀﾙ投組	投資業(ﾌｧﾝﾄﾞ)	573987	13.1
SALESFORCE VENTURES LLC.	投資業(ﾌｧﾝﾄﾞ)	257400	5.9
MS･HAYATE1号投組	投資業(ﾌｧﾝﾄﾞ)	202842	4.6
(株)ｼｸﾞﾏｸｼｽ･ｲﾝﾍﾞｽﾄﾒﾝﾄ	投資業(ﾌｧﾝﾄﾞ)	193610	4.4
INNOVATION HAYATE V Capital	投資業(ﾌｧﾝﾄﾞ)	145124	3.3
BREW(株)	投資業(ﾌｧﾝﾄﾞ)	86394	2.0
(株)SBI新生銀行	特別利害関係者など	77220	1.8
鄭炳吾	特別利害関係者など	65857	1.5
TIS(株)	特別利害関係者など	64350	1.5
ﾌﾘｰ(株)	特別利害関係者など	64350	1.5
(株)あおぞら銀行	特別利害関係者など	64350	1.5
TSV1号投組	投資業(ﾌｧﾝﾄﾞ)	64350	1.5"
297A	アルピコホールディングス	東証スタンダード	小売業	B	2024/12/25	209	191	190	201	173	191	佐藤 裕一（上場時64歳6カ月）／1960年生	64	2008	36	1398	338465000	71113460	14292700	77.0	10.0	13.0	流通事業の新規出店、運輸事業のバス車両などの取得、観光事業の宿泊施設改装	14862713140	0	0	0	0	0	0	4.7	0	"ｻﾝﾘﾝ(株)	特別利害関係者など	6369426	10.1
(株)八十二銀行	特別利害関係者など	5837814	9.3
高沢産業(株)	特別利害関係者など	5095540	8.1
ｷｯｾｲ薬品工業(株)	特別利害関係者など	4000000	6.3
損害保険ｼﾞｬﾊﾟﾝ(株)	特別利害関係者など	3625028	5.8
鈴与(株)	特別利害関係者など	3184710	5.1
ﾎｸﾄ(株)	特別利害関係者など	3052800	4.8
八十二ｷｬﾋﾟﾀﾙ(株)	投資業(ﾌｧﾝﾄﾞ)	2950000	4.7
昭和商事(株)	特別利害関係者など	2928000	4.7
(株)日本ｱｸｾｽ	特別利害関係者など	2000000	3.2"
300A	MIC	東証スタンダード	サービス業	B	2024/12/25	900	960	888	960	900	960	河合 克也（上場時45歳8カ月）／1979年生	45	1953	344	9	10000000	7100000	2070000	53.1	33.8	13.0	設備資金、運転資金	6390000000	96.9	93.0	3.9	0	0	1.0	0	0	"(株)ｴﾑﾂｰ	役員らが議決権の過半数所有	3568800	56.6
水上光啓	代表取締役会長	1906200	30.2
河合克也	代表取締役社長執行役員	390000	6.2
辻怜子	取締役の血族	60000	0.9
真鍋悠子	取締役の血族	60000	0.9
谷口大輔	取締役常務執行役員	60000	0.9
石黒陽平	執行役員	30000	0.5
松尾力	執行役員	30000	0.5
松崎良樹	執行役員	15000	0.2
匿名1	従業員	15000	0.2
匿名2	従業員	15000	0.2
匿名3	従業員	15000	0.2
匿名4	従業員	15000	0.2
匿名5	従業員	15000	0.2"
5241	日本オーエー研究所	名証ネクスト	情報・通信業	C	2024/12/23	570	550	570	600	510	550	奥山 宏昭（上場時69歳8カ月）／1955年生	69	1983	223	9	90000000	804000	207000	58.0	29.0	13.0	技術系人材の採用・育成費、銀行借入金の返済	458280000	96.8	94.8	2.0	0	0	0	0	0	"奥山宏昭	代表取締役社長	550700	80.5
奥山伸子	代表取締役の配偶者	98000	14.3
田村信裕	特別利害関係者など	19200	2.8
川東卓時	取締役執行役員	3200	0.5
田中進吾	取締役執行役員	3200	0.5
関谷久	取締役執行役員	3200	0.5
町野公彦	取締役執行役員	3200	0.5
尾形朋輝	監査役	3200	0.5
(株)CIJ	取引先	100	0.0"
296A	令和アカウンティング・ホールディングス	東証グロース	サービス業	A	2024/12/23	320	360	520	521	320	360	繁野 径子（上場時55歳8カ月）／1969年生	55	2004	255	78	100000000	38000000	3450000	14.5	72.5	13.0	オフィス拡充、システム開発投資	12160000000	14.9	5.3	4.3	5.3	0	0	0	0	"須貝信	元取締役、実質的創業者	10800000	28.8
(株)mysky	須貝信の資産管理会社か	2000000	5.3
須貝舞	須貝信の親族か	2000000	5.3
繁野径子	代表取締役社長執行役員	2000000	5.3
ﾔｰﾏﾝ(株)	取引先	1875000	5.0
佐々木明日美	取締役	1600000	4.3
(株)文芸社	特別利害関係者など	1250000	3.3
(有)ｽｺｯﾄ	特別利害関係者など	937500	2.5
(株)ｱﾙﾀｲﾙ	須貝信の資産管理会社か	800000	2.1
(株)ﾚｸﾞﾙｽ	須貝信の資産管理会社か	800000	2.1"
299A	dely	東証グロース	サービス業	A	2024/12/19	1170	1200	1150	1001	1170	1200	堀江 裕介（上場時32歳6カ月）／1992年生	32	2014	209	11	100000000	41313000	14519600	0.0	87.0	13.0	-	48336210000	55.6	23.6	0.8	0	31.2	3.2	36.8	0	"LINEﾔﾌｰ(株)	親会社	14107000	31.2
堀江裕介	代表取締役	10634000	23.6
YJ2号投資事業組合	投資業(ﾌｧﾝﾄﾞ)	6584000	14.6
ｼﾞｬﾌｺSV5共有投組無限責任組合員	投資業(ﾌｧﾝﾄﾞ)	6120000	13.6
ｼﾞｬﾌｺSV5ｽﾀｰ投組	投資業(ﾌｧﾝﾄﾞ)	1530000	3.4
ﾕﾅｲﾃｯﾄﾞ(株)	投資業(ﾌｧﾝﾄﾞ)	1277000	2.8
匿名1	従業員	685000	1.5
KeppleLiquidity1号投組	投資業(ﾌｧﾝﾄﾞ)	620000	1.4
ｲｰｽﾄﾍﾞﾝﾁｬｰｽﾞ投組	投資業(ﾌｧﾝﾄﾞ)	451000	1.0
佐藤裕介	特別利害関係者など	405000	0.9
匿名2	従業員	398000	0.9
戸田翔太	取締役CFO	371300	0.8
匿名3	従業員	340000	0.8
(株)ｱｶﾂｷ	特別利害関係者など	250000	0.6"
290A	Synspective	東証グロース	情報・通信業	A	2024/12/19	460	480	720	736	460	480	新井 元行（上場時46歳1カ月）／1978年生	46	2018	45	45	2950120000	108249150	24499800	87.0	0.0	13.0	設備資金、運転資金	49794609000	9.4	9.4	0	0	0	0	33.1	0	"新井元行	代表取締役CEO	9015000	9.4
ｽﾍﾟｰｽ･ｴｰｽﾀｰﾄ1号投組	投資業(ﾌｧﾝﾄﾞ)	8611200	8.9
ｼﾞｬﾌｺSV5共有投組	投資業(ﾌｧﾝﾄﾞ)	7339800	7.6
清水建設(株)	特別利害関係者など	6944400	7.2
SPｴｰｽﾀｰﾄ1号投組	投資業(ﾌｧﾝﾄﾞ)	6469050	6.7
日本ｸﾞﾛｰｽｷｬﾋﾟﾀﾙ投資法人	投資業(ﾌｧﾝﾄﾞ)	5053650	5.2
白坂成功	元取締役、顧問	4500000	4.7
森ﾄﾗｽﾄ(株)	特別利害関係者など	2399700	2.5
協創ﾌﾟﾗｯﾄﾌｫｰﾑ開発1号投組	投資業(ﾌｧﾝﾄﾞ)	2280450	2.4
Tsunagu Investment Pte. LTD.	投資業(ﾌｧﾝﾄﾞ)	2223300	2.3"
