コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
4930	グラフィコ	JASDAQスタンダード	化学	B	2020/09/24	3850	4090	8000	9560	3850	4090	長谷川 純代 （上場時53歳4カ月）／1967年生	48	1996	52	8	10000000	880000	322000	24.8	62.1	13.0	運転資金、広告宣伝費用、新商品開発費用、採用費および人件費	3388000000	66.2	62.7	3.5	0	0	1.4	0	0	"長谷川純代	代表取締役社長CEO	550900	62.7
嶋津貴和	元取締役副社長	220000	25.0
村松太郎	特別利害関係者など	20000	2.3
水谷直人	取締役CMO	13760	1.6
甲正彦	取締役CFO	9800	1.1
遠藤幸子	監査役	8540	1.0
秦俊二	取締役COO	6600	0.8
若松里子	従業員	6600	0.8
高鳥忠明	従業員	4900	0.6
従業員持ち株会	特別利害関係者など	3600	0.4"
6186	一蔵	東証2部	サービス業	B	2015/12/25	1210	1210	1210	1236	1150	1210	河端　義彦／1953年生	62	1991	672	6	37800000	5254000	2313900	64.8	22.1	13.0	和装事業の新規出店、本社機能の一部移転、基幹システム構築・改善、結婚式場の改修、ウエディング事業用地の取得	6357340000	99.3	86.6	12.7	0	0	0	0	0	"河端　義彦	代表取締役社長	3251900	86.6
白石　隆治	常務取締役	412100	11.0
寺島　邦夫	常務取締役	25000	0.7
田渕　潤一郎	常勤監査役	25000	0.7
鈴木　義孝	取締役	20000	0.5
数見　康浩	取締役	20000	0.5"
3465	ケイアイスター不動産	東証2部	不動産業	B	2015/12/24	1130	1200	1400	1282	1130	1200	塙　圭二／1967年生	48	1990	518	13	238300000	7116250	2415000	43.5	43.5	13.0	分譲住宅事業での土地仕入れ資金と建築資金	8041362500	94.0	93.7	0.3	0	0	0	0	0	"塙　圭二	代表取締役社長	4080000	67.3
㈱フラワーリング	役員らが議決権の過半数を所有する会社	1600000	26.4
㈱足利銀行	取引先	103000	1.7
㈱埼玉りそな銀行	取引先	64000	1.1
㈱群馬銀行	取引先	64000	1.1
㈱武蔵野銀行	取引先	64000	1.1
従業員持ち株会	特別利害関係者など	35000	0.6
㈱常陽銀行	取引先	25000	0.4
瀧口　裕一	専務取締役	12500	0.2
園部　守	常務取締役	6250	0.1"
3929	ソーシャルワイヤー	マザーズ	情報・通信業	B	2015/12/24	1550	1600	3700	2511	1480	1600	矢田　峰之／1974年生	41	2006	95	36	155940000	2556600	621000	27.4	59.6	13.0	人材獲得と採用・育成にかかる人件費、新拠点開発にかかる保証金と建物付属設備などの設備投資	3962730000	44.7	23.3	21.4	0	0	0	14.8	0	"ユナイテッド㈱	その他の関係会社	750000	26.1
矢田　峰之	代表取締役社長、子会社の取締役	670500	23.3
ﾀｷｵﾝ野心満々投資組合	ベンチャーキャピタル（ファンド）	258000	9.0
庄子　素史	取締役、子会社の取締役	187000	6.5
加藤　順彦	子会社の取締役	165000	5.7
杉本　太一朗	取締役、子会社の取締役	83800	2.9
SBIｱﾄﾞﾊﾞﾝｽﾄ･ﾃｸﾉﾛｼﾞｰ1号	ベンチャーキャピタル（ファンド）	83300	2.9
SBI-Klab Startup1号	ベンチャーキャピタル（ファンド）	83300	2.9
石田　朝子	取締役	60600	2.1
荻巣　知子	取締役、子会社の取締役	60600	2.1
藤原　直美	取締役、子会社の取締役	60600	2.1"
6185	ソネット・メディア・ネットワークス	マザーズ	サービス業	A	2015/12/22	2250	2300	5300	5500	2150	2300	地引　剛史／1972年生	43	2000	85	64	149800000	2739000	690000	87.0	0.0	13.0	DSPの新機能開発や機能改善のソフトウエア投資とサーバーへの投資	6162750000	86.2	12.4	5.0	0	68.8	3.3	0	0	"ソネット㈱	親会社	1965300	68.8
地引　剛史	代表取締役社長	194100	6.8
宮口　文秀	取締役副社長	159100	5.6
中尾　嘉孝	取締役執行役員	144100	5.0
穂谷野　智	特別利害関係者など	129100	4.5
伊藤忠商事㈱	特別利害関係者など	83000	2.9
中川　典宜	従業員	50000	1.8
従業員持ち株会	特別利害関係者など	14300	0.5
加藤　秀明	従業員	8000	0.3
千輝　仁	従業員	8000	0.3
寺田　英治	従業員	8000	0.3
安田　崇浩	従業員	8000	0.3
山本　則行	従業員	8000	0.3"
3464	プロパティエージェント	JASDAQスタンダード	不動産業	B	2015/12/22	1360	1400	2000	3010	1360	1400	中西　聖／1977年生	38	2004	79	41	50000000	1660000	575000	80.0	7.0	13.0	不動産開発販売事業における資産運用型不動産の購入・開発にかかる運転資金	2257600000	94.8	90.5	4.3	0	0	2.2	0	0	"中西　聖	代表取締役社長	1172800	90.5
野呂田　義尚	常務取締役	26200	2.0
村田　貴志	取締役	12800	1.0
大口　功	取締役	12800	1.0
長谷川　雅也	従業員	5800	0.5
的場　宏平	従業員	5800	0.5
藤田　尚高	従業員	4000	0.3
岩瀬　晃二	取締役	4000	0.3
松石　滋樹	従業員	4000	0.3
加納　貴夫	従業員	4000	0.3
平松　裕紀	従業員	4000	0.3"
3928	マイネット	マザーズ	情報・通信業	B	2015/12/21	1680	1680	3000	2005	1500	1680	上原　仁／1974年生	41	2006	136	75	625632000	3203900	982100	61.1	25.9	13.0	新規スマートフォンゲームタイトルの獲得費用、人員採用の費用、人件費	5382552000	40.0	33.0	7.0	0	0	0	16.2	0	"上原　仁	代表取締役社長	957500	33.0
グリー㈱	特別利害関係者など	517500	17.8
B Dash Fund 2号	ベンチャーキャピタル（ファンド）	256000	8.8
㈱セガゲームス	特別利害関係者など	209000	7.2
嶺井　政人	取締役CFO	203200	7.0
新生企業投資㈱	ベンチャーキャピタル（ファンド）、金融商品取引業者	129400	4.5
笠原　健治	特別利害関係者など	104000	3.6
SMBCﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ2号	ベンチャーキャピタル（ファンド）	85000	2.9
橋詰　大造	元取締役	53700	1.9
住友商事㈱	特別利害関係者など	50000	1.7"
9416	ビジョン	マザーズ	情報・通信業	A	2015/12/21	2000	2000	2100	2213	1800	2000	佐野　健一／1969年生	46	2001	380	45	300000000	7774500	2639200	70.9	16.1	13.0	海外展開やウェブサイト制作費、広告宣伝費、その他運転資金、社内システムの再構築・整備費、採用・研修費、短期借入金の返済	15549000000	47.3	44.9	2.4	0	0	0	19.1	0	"佐野　健一	代表取締役社長	2769300	44.9
㈱ﾒﾝﾊﾞｰｽﾞﾓﾊﾞｲﾙ	その他の関係会社	1733000	28.1
SBIｲﾉﾍﾞｰｼｮﾝﾌｧﾝﾄﾞ1号	ベンチャーキャピタル（ファンド）	1177200	19.1
中本　新一	取締役上級執行役員	110000	1.8
㈱ｸﾚﾃﾞｨｾｿﾞﾝ	特別利害関係者など	90400	1.5
従業員持ち株会	特別利害関係者など	67000	1.1
大田　健司	取締役上級執行役員	35000	0.6
㈱ｴﾌﾌﾟﾚｲﾝ	特別利害関係者など	29600	0.5
ｽﾀｰﾃｨｱ㈱	特別利害関係者など	22600	0.4
㈱ﾃﾚ･ﾏｰｶｰ	特別利害関係者など	19700	0.3"
3927	アークン	マザーズ	情報・通信業	B	2015/12/18	1230	1360	4200	4925	1230	1360	蛭間　久季／1963年生	52	2001	30	68	80000000	2146000	575000	52.2	34.8	13.0	新設するR&Dセンターの設備の設置費と増設費、人材採用活動費と人件費	2639580000	20.3	18.3	2.0	0	0	0	0	0	"蛭間　久季	代表取締役社長	372000	18.3
伊藤　翼	特別利害関係者など	204600	10.1
伊藤　未可子	特別利害関係者など	200000	9.8
㈱アークン	自己株式	168000	8.3
永野　祐司	特別利害関係者など	100000	4.9
榊原　義定	特別利害関係者など	100000	4.9
金山　弘来	特別利害関係者など	90800	4.5
金山　英来	特別利害関係者など	90600	4.5
金山　昌来	特別利害関係者など	90600	4.5
㈱オーク電子	特別利害関係者など	80000	3.9
橘高　弘武	取締役	40000	2.0"
6238	フリュー	東証1部	機械	B	2015/12/18	3780	3200	3550	3220	3000	3200	田坂　吉朗／1958年生	57	2006	371	83	550000000	9432000	1683600	43.5	43.5	13.0	新規ユーザー獲得のための広告宣伝費、ゲームやモバイルコンテンツの制作、プリントシール機の設置作業に関する業務委託費、新商品開発に関する研究開発費	35652960000	54.0	21.8	32.2	0	0	13.8	0	0	"田坂　吉朗	代表取締役社長	1900000	21.8
社員持ち株会	特別利害関係者など	740000	8.5
吉田　真人	専務取締役	600000	6.9
芝山　貴史	取締役	600000	6.9
新本　祐一	常務取締役	600000	6.9
三嶋　隆	専務取締役	600000	6.9
稲毛　勝行	取締役	400000	4.6
中村　真司	従業員	400000	4.6
鬼頭　金正	従業員	400000	4.6
溝上　耕史	従業員	400000	4.6"
