コード	企業名	市場	業種	注目度	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
7360	オンデック	マザーズ	サービス業	B	2020/12/29	1270	1550	5000	4500	1400	1550	久保 良介（上場時44歳7カ月）／1976年生	44	2007	37	8	100000000	2781000	632500	47.4	39.5	13.0	M&Aプラットフォームの構築・企画・設計、本社移転	3531870000	78.5	75.8	2.7	0	0	1.6	14.2	0	"久保良介	代表取締役社長	903900	35.0
舩戸雅夫	代表取締役副社長	903900	35.0
Angel Bridge DbyD Fund 9号(株)	ベンチャーキャピタル（ファンド）	366000	14.2
(株)ﾍﾟｲﾌｫﾜｰﾄﾞ	役員らが議決権の過半数を所有する会社	150000	5.8
(株)ﾀｹｵﾎｰﾙﾃﾞｨﾝｸﾞｽ	帝国ﾃﾞｰﾀﾊﾞﾝｸのｸﾞﾙｰﾌﾟ管理会社	81000	3.1
従業員持ち株会	特別利害関係者など	64440	2.5
山中大輔	取締役	59520	2.3
中井裕介	従業員	19830	0.8
中垣洋祐	従業員	19830	0.8
大西宏樹	取締役	11160	0.4
村田健一郎	常勤監査役	600	0.0"
4884	クリングルファーマ	マザーズ	医薬品	C	2020/12/28	950	1000	1500	1480	950	1000	安達 喜一（上場時53歳10カ月）／1967年生	53	2001	10	73	300000000	4227700	667000	87.0	0.0	13.0	研究開発費	4016315000	4.2	4.2	0	0	0	0	33.7	2.4	"日本全薬工業(株)	特別利害関係者など	500840	12.1
慶応ｲﾉﾍﾞｰｼｮﾝ･ｲﾆｼｱﾃｨﾌﾞ1号投組	ベンチャーキャピタル（ファンド）	470460	11.4
DBJｷｬﾋﾟﾀﾙ投組	ベンチャーキャピタル（ファンド）	319800	7.7
THVP-1号投組	ベンチャーキャピタル（ファンド）	226600	5.5
CYBERDYNE(株)	特別利害関係者など	200000	4.8
OUVC 1号投組	ベンチャーキャピタル（ファンド）	200000	4.8
安達喜一	代表取締役社長	171900	4.2
岩谷邦夫	-	132040	3.2
丸石製薬(株)	資本業務提携先	100000	2.4
(株)ﾘﾌﾟﾛｾﾙ	取引先	100000	2.4
とうほう・ふるさと総活躍応援ﾌｧﾝﾄﾞ投組	ベンチャーキャピタル（ファンド）	100000	2.4
ﾊﾞｲｵ･ｻｲﾄ･ｷｬﾋﾟﾀﾙ(株)	ベンチャーキャピタル（ファンド）	79960	1.9"
4881	ファンペップ	マザーズ	医薬品	B	2020/12/25	820	650	630	715	650	730	三好 稔美（上場時56歳9カ月）／1964年生	56	2013	11	33	1388240000	16746700	3150600	87.0	0.0	13.0	新規開発品や新規製剤技術の研究開発費、人件費	13732294000	22.0	11.1	10.9	0	0	0	12.2	10.4	"森下竜一	特別利害関係者など	2200000	13.5
平井昭光	取締役	1775000	10.9
SBI4&5投組	ベンチャーキャピタル（ファンド）	1190400	7.3
三好稔美	代表取締役社長	1160000	7.1
塩野義製薬(株)	資本業務提携先	1095200	6.7
(有)ｱﾄﾞﾊﾞﾝｽﾃｸﾉﾛｼﾞｰ	特別利害関係者など	1000000	6.2
New Life Science 1号投組	ベンチャーキャピタル（ファンド）	793600	4.9
(株)SOLA	特別利害関係者など	750000	4.6
(株)ﾚｯｸｽｳｪﾙ	役員らが議決権の過半数を所有する会社	650000	4.0
(株)ﾒﾃﾞｨﾊﾟﾙﾎｰﾙﾃﾞｨﾝｸﾞｽ	資本業務提携先	595200	3.7"
6230	SANEI	東証2部	機械	C	2020/12/25	2050	2200	2500	3525	2050	2200	西岡 利明（上場時62歳5カ月）／1958年生	62	1960	647	22	98000000	2220000	529000	49.1	37.8	13.0	生産設備投資	4551000000	85.7	79.6	6.1	0	0	0	0	0	"西岡利明	代表取締役社長	760000	38.8
吉川正弘	代表取締役副社長	680000	34.7
吉川弘二	代表取締役副社長の血族	100000	5.1
従業員持ち株会	特別利害関係者など	100000	5.1
夏目和典	専務取締役	60000	3.1
尼見幸一	常務取締役	40000	2.0
岸田敏雄	監査役	25000	1.3
新田裕二	取締役	20000	1.0
(株)岡本製作所	取引先	20000	1.0
(株)坂井製作所	取引先	20000	1.0
(株)多喜ﾌﾟﾗｽﾁｯｸ	取引先	20000	1.0
(株)田中工業	取引先	20000	1.0
夏目明美	代表取締役の血族	20000	1.0"
4172	東和ハイシステム	JASDAQスタンダード	情報・通信業	B	2020/12/25	2180	2300	4300	5300	2180	2300	石井 滋久（上場時75歳1カ月）／1945年生	75	1978	125	15	68000000	2168000	460000	43.5	43.5	13.0	商品開発、社内デジタル化推進、既存商品・サービスの機能向上推進	4726240000	97.6	94.4	3.2	0	0	1.0	0	0	"石井滋久	代表取締役	1045200	53.1
(有)ｴｽ･ｲｰ	役員らが議決権の過半数を所有する会社	704400	35.8
石井恵美子	代表取締役の配偶者	76800	3.9
猪子久美子	執行役員	45600	2.3
石井滋雅	執行役員、代表取締役の血族	31200	1.6
河野圭哉	従業員	19200	1.0
社員持ち株会	特別利害関係者など	15600	0.8
上山政己	上席執行役員	9600	0.5
丹賢史	特別利害関係者など	7200	0.4
高橋睦治	取締役（監査等委員）	3600	0.2
山崎武恒	上席執行役員兼CFO	3600	0.2"
7359	東京通信	マザーズ	サービス業	B	2020/12/24	1250	1250	2800	2484	1200	1250	古屋 佑樹（上場時34歳1カ月）／1986年生	34	2015	48	11	120525000	4937500	1150000	53.0	33.9	13.0	運転資金、借入金返済	6171875000	93.0	90.7	2.3	0	0	0	1.4	0	"(株)YSﾎｰﾙﾃﾞｨﾝｸﾞｽ	役員らが議決権の過半数を所有する会社	2740000	62.1
(株)monolice	役員らが議決権の過半数を所有する会社	430000	9.8
外川穣	代表取締役会長	413000	9.4
古屋佑樹	代表取締役社長CEO	313865	7.1
村野慎之介	取締役CFO	100000	2.3
SHINOSKAL(同)	役員らが議決権の過半数を所有する会社	100000	2.3
(株)ｾﾚｽ	特別利害関係者など	80000	1.8
寺山隆一	特別利害関係者など	64500	1.5
ｻﾝｴｲﾄ･PS1号投資事業組合	ベンチャーキャピタル（ファンド）	37500	0.8
みずほ成長支援第3号投組	ベンチャーキャピタル（ファンド）	27500	0.6"
4171	グローバルインフォメーション	JASDAQスタンダード	情報・通信業	B	2020/12/24	1200	1210	3000	2580	1110	1210	小野 悟（上場時73歳3カ月）／1947年生	73	1995	45	6	21500000	2625000	575000	21.7	65.2	13.0	人材採用費、マーケティング費用、システム開発費、運転資金	3150000000	97.9	90.3	7.6	0	0	0.3	0	0	"小野悟	代表取締役社長	1150000	41.6
小野優子	代表取締役社長の配偶者	750000	27.1
田野聡美	代表取締役社長の血族	150000	5.4
樋口めぐ美	代表取締役社長の血族	150000	5.4
(株)いちとせ	役員らが議決権の過半数を所有する会社	150000	5.4
(株)ｴﾙﾜｲｱｰﾙ	役員らが議決権の過半数を所有する会社	150000	5.4
樋口荘祐	取締役	150000	5.4
杜山悦郎	取締役CFO	49000	1.8
栗崎俊紀	取締役	10000	0.4
常岡理恵	従業員	8000	0.3"
7695	交換できるくん	マザーズ	小売業	B	2020/12/23	1890	2050	4100	4615	1890	2050	栗原 将（上場時45歳1カ月）／1975年生	45	1998	73	8	113250000	2170000	402500	24.8	62.1	13.0	ウェブサイト改修やCRM（顧客関係管理）に係る投資資金、データ活用・AI（人工知能）による経営の効率化および業務改善に係る投資資金、広告宣伝費	4101300000	88.6	86.3	2.3	0	0	0	4.6	0	"(株)CRESCUNT	役員らが議決権の過半数を所有する会社	1000000	46.1
栗原将	代表取締役社長	615000	28.4
栗原剛	代表取締役社長の血族、従業員	255000	11.8
NVCC8号投組	ベンチャーキャピタル（ファンド）	100000	4.6
酒井克知	常務取締役	40000	1.8
(株)ﾍﾞｸﾄﾙ	特別利害関係者など	30000	1.4
ｼﾞｬﾊﾟﾝﾍﾞｽﾄﾚｽｷｭｰｼｽﾃﾑ(株)	特別利害関係者など	30000	1.4
JBRあんしん保証(株)	特別利害関係者など	30000	1.4
ﾘﾝﾅｲ(株)	特別利害関係者など	10000	0.5
吉野登	取締役	10000	0.5"
4169	ENECHANGE	マザーズ	情報・通信業	B	2020/12/23	520	600	2100	2400	520	600	城口 洋平（上場時33歳4カ月）／1987年生	33	2015	77	44	890255000	5750000	437000	11.4	75.5	13.0	人材採用費、人件費・人材育成費	2990000000	34.0	34.0	0	0	0	0	15.2	0	"城口洋平	代表取締役CEOなど	1879725	23.9
有田一平	代表取締役COO	794379	10.1
植野泰幸	時価発行新株予約権信託の受託者	630000	8.0
B Dash Fund 2号投組	ベンチャーキャピタル（ファンド）	600000	7.6
Energy Station Company LTD.	特別利害関係者など	599850	7.6
(株)大和証券ｸﾞﾙｰﾌﾟ本社	特別利害関係者など	450000	5.7
BIG 1号投組	ベンチャーキャピタル（ファンド）	360000	4.6
(株)ｴﾌﾟｺ	特別利害関係者など	300000	3.8
大和ｴﾅｼﾞｰ･ｲﾝﾌﾗ(株)	特別利害関係者など	270000	3.4
SpiralCapitalJapanFund1号投組	ベンチャーキャピタル（ファンド）	240000	3.0
(株)日立製作所	特別利害関係者など	210000	2.7"
4170	Kaizen Platform	マザーズ	情報・通信業	B	2020/12/22	1100	1150	1600	1170	1100	1150	須藤 憲司（上場時40歳8カ月）／1980年生	40	2017	59	39	693999000	15424473	5760600	26.9	60.1	13.0	人件費、マーケティング費	16966920300	31.2	28.9	2.3	0	0	7.1	31.6	8.9	"須藤憲司	代表取締役兼執行役員	4600000	28.9
Japan Ventures I L.P.	ベンチャーキャピタル（ファンド）	2554551	16.1
AT-I 投組	ベンチャーキャピタル（ファンド）	1303064	8.2
石橋利真	従業員	1125000	7.1
(株)NTTｱﾄﾞ	資本業務提携先	1011686	6.4
FinTechﾋﾞｼﾞﾈｽｲﾉﾍﾞｰｼｮﾝ投組	ベンチャーキャピタル（ファンド）	636942	4.0
YJ2号投資事業組合	ベンチャーキャピタル（ファンド）	529608	3.3
(株)ｺﾛﾌﾟﾗ	特別利害関係者など	423451	2.7
大日本印刷(株)	資本業務提携先	400000	2.5
渡部拓也	取締役兼執行役員	360000	2.3"
