日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2023-02-14	年次	当期				書類名	DocumentName			決算短信〔日本基準〕（連結）	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				提出日	FilingDate			2023年2月14日	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				会社名	CompanyName			株式会社アルファパーチェス	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					TokyoStockExchange			東	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				証券コード	SecuritiesCode			7115	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				URL	URL			https://www.alphapurchase.co.jp/	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				代表者の役職	TitleRepresentative			代表取締役 社長 兼 ＣＥＯ	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期				代表者名	NameRepresentative			多田 雅之	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					TitleInquiries			取締役 ＣＦＯ	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					NameInquiries			齋藤 正弘	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					Tel			03-6628-8453	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					DateOfGeneralShareholdersMeetingAsPlanned			2023年3月23日	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					DividendPayableDateAsPlanned			2023年3月24日	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					AnnualSecuritiesReportFilingDateAsPlanned			2023年3月24日	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					SupplementalMaterialOfAnnualResults			有	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					ConveningBriefingOfAnnualResults			有	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					TargetAudienceBriefingOfAnnualResults			（個人投資家向け）	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentYearInstant	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期	連結	実績		売上高	NetSales	44383000000	JPY	44,383	CurrentYearDuration_ConsolidatedMember_ResultMember	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期	連結	実績		売上高の増減率	ChangeInNetSales	0.170	Pure	17.0	CurrentYearDuration_ConsolidatedMember_ResultMember	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
2023-02-14	年次	当期	連結	実績		営業利益	OperatingIncome	1042000000	JPY	1,042	CurrentYearDuration_ConsolidatedMember_ResultMember	/disc/71150/081220230214510978_tse-acedjpsm-71150-20230214371150-ixbrl.htm
