日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2016-08-09	四半期	当期第1四半期累計				書類名	DocumentName			第１四半期決算短信〔日本基準〕(連結)	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				提出日	FilingDate			平成28年８月９日	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				会社名	CompanyName			株式会社リクルートホールディングス	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				証券コード	SecuritiesCode			60980	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				URL	URL			http://www.recruit.jp	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				代表者の役職	TitleRepresentative			代表取締役社長兼CEO	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				代表者名	NameRepresentative			峰岸 真澄	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					TitleInquiries			取締役専務執行役員	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					NameInquiries			佐川 恵一	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					Tel			03(6835)1111(代表)	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					QuarterlyStatementFilingDateAsPlanned			平成28年８月９日	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					SupplementalMaterialOfQuarterlyResults			有	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					ConveningBriefingOfQuarterlyResults			有	CurrentAccumulatedQ1Instant	/disc/60980/081220160808471329_tse-qcedjpsm-60980-20160809360980-ixbrl.htm
