日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2016-08-03		当期第3四半期累計				書類名	DocumentName			第3四半期決算短信〔日本基準〕（非連結）	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				提出日	FilingDate			平成28年8月3日	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				会社名	CompanyName			パラカ株式会社	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				証券コード	SecuritiesCode			48090	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				URL	URL			http://www.paraca.co.jp/	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				代表者の役職	TitleRepresentative			代表取締役	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計				代表者名	NameRepresentative			駒井 雄一	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					TitleInquiries			取締役管理本部長	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					NameInquiries			間嶋 正明	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					Tel			03-6230-2300	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					QuarterlyStatementFilingDateAsPlanned			平成28年8月10日	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					SupplementalMaterialOfQuarterlyResults			無	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					ConveningBriefingOfQuarterlyResults			無	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentAccumulatedQ3Instant	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		売上高	NetSales	8990000000	JPY	8,990	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		売上高の増減率	ChangeInNetSales	0.110	Pure	11.0	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		営業利益	OperatingIncome	1833000000	JPY	1,833	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		営業利益の増減率	ChangeInOperatingIncome	0.238	Pure	23.8	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		経常利益	OrdinaryIncome	1650000000	JPY	1,650	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		経常利益の増減率	ChangeInOrdinaryIncome	0.276	Pure	27.6	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
2016-08-03		当期第3四半期累計	単体	実績		当期純利益	NetIncome	1087000000	JPY	1,087	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/48090/081220160721454878_tse-qnedjpsm-48090-20160721454878-ixbrl.htm
