日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2025-03-13		当期第3四半期累計				書類名	DocumentName			第３四半期決算短信〔日本基準〕(非連結)	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				提出日	FilingDate			2025年３月13日	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				会社名	CompanyName			株式会社ブッキングリゾート	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				証券コード	SecuritiesCode			324A0	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				URL	URL			https://www.booking-resort.jp/	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				代表者の役職	TitleRepresentative			代表取締役	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計				代表者名	NameRepresentative			坂根 正生	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					TitleInquiries			取締役	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					NameInquiries			今井 裕二	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					Tel			06(6147)5481	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					SupplementalMaterialOfResults			無	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					ConveningBriefingOfResults			無	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計					NoteToFractionProcessingMethod			(百万円未満切捨て)	CurrentAccumulatedQ3Instant	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		売上高	NetSales	1145000000	JPY	1,145	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		営業利益	OperatingIncome	438000000	JPY	438	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		経常利益	OrdinaryIncome	433000000	JPY	433	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		当期純利益	NetIncome	324000000	JPY	324	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		1株当たり当期純利益	NetIncomePerShare	60.02	JPYPerShares	60.02	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
2025-03-13		当期第3四半期累計	単体	実績		経営成績の注記	NoteToOperatingResults			(注) １．2024年４月期第３四半期については、四半期財務諸表を作成していないため、2024年４月期第３四半期の数値及び対前年同四半期増減率並びに2025年４月期第３四半期の対前年同四半期増減率は記載しておりません。 ２．潜在株式調整後１株当たり四半期純利益については、潜在株式が存在しないため記載しておりません。３．当社は、2024年９月８日付で普通株式１株につき5,000株の割合で株式分割を行っております。当事業年度の期首に当該株式分割が行なわれたと仮定し、１株当たり四半期純利益及び潜在株式調整後１株当たり四半期純利益を算定しております。	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/324A0/081220250313592956_tse-qnedjpsm-324A0-202503133324A0-ixbrl.htm
