日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2023-09-08	四半期	当期第2四半期累計				書類名	DocumentName			第２四半期決算短信〔日本基準〕（連結）	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				提出日	FilingDate			2023年９月８日	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				会社名	CompanyName			株式会社GENDA	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				証券コード	SecuritiesCode			9166	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				URL	URL			https://genda.jp	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				代表者の役職	TitleRepresentative			代表取締役社長	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計				代表者名	NameRepresentative			申 真衣	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					TitleInquiries			取締役CFO兼管理本部長	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					NameInquiries			渡邊 太樹	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					Tel			03-6281-4781	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					QuarterlyStatementFilingDateAsPlanned			2023年９月12日	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					SupplementalMaterialOfQuarterlyResults			有	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					ConveningBriefingOfQuarterlyResults			有	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentAccumulatedQ2Instant	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		売上高	NetSales	24515000000	JPY	24,515	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		営業利益	OperatingIncome	2767000000	JPY	2,767	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		経常利益	OrdinaryIncome	2723000000	JPY	2,723	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	1975000000	JPY	1,975	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		包括利益	ComprehensiveIncome	2007000000	JPY	2,007	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		1株当たり当期純利益	NetIncomePerShare	62.07	JPYPerShares	62.07	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		潜在株式調整後1株当たり当期純利益	DilutedNetIncomePerShare	60.96	JPYPerShares	60.96	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		経営成績の注記	NoteToOperatingResults			（注）１．当社は、2023年１月期第２四半期については四半期連結財務諸表を作成していないため、2023年１月期第２四半期の数値及び2024年１月期第２四半期の対前年同四半期増減率は記載しておりません。２．当社は、2023年４月29日付で普通株式１株につき400株の割合で株式分割を行っております。前連結会計年度の期首に当該株式分割が行われたと仮定して、１株当たり四半期純利益及び潜在株式調整後１株当たり四半期純利益を算定しております。３．当社は、2023年７月28日付で東京証券取引所グロース市場に上場しております。2024年１月期第２四半期の潜在株式調整後１株当たり四半期純利益については、新規上場日から当第２四半期会計期間の末日までの平均株価を期中平均株価とみなして算定しております。	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		総資産	TotalAssets	38305000000	JPY	38,305	CurrentAccumulatedQ2Instant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		純資産	NetAssets	16849000000	JPY	16,849	CurrentAccumulatedQ2Instant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		自己資本比率	CapitalAdequacyRatio	0.439	Pure	43.9	CurrentAccumulatedQ2Instant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	連結	実績		総資産	TotalAssets	31033000000	JPY	31,033	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	連結	実績		純資産	NetAssets	11240000000	JPY	11,240	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	連結	実績		自己資本比率	CapitalAdequacyRatio	0.362	Pure	36.2	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		自己資本	OwnersEquity	16832000000	JPY	16,832	CurrentAccumulatedQ2Instant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	連結	実績		自己資本	OwnersEquity	11224000000	JPY	11,224	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	単体	実績	期末	1株当たり配当金	DividendPerShare	0.00	JPYPerShares	0.00	PriorYearDuration_YearEndMember_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	単体	実績	合計	1株当たり配当金	DividendPerShare	0.00	JPYPerShares	0.00	PriorYearDuration_AnnualMember_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	単体	実績	第2四半期末	1株当たり配当金	DividendPerShare	0.00	JPYPerShares	0.00	CurrentYearDuration_SecondQuarterMember_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	単体	予想	期末	1株当たり配当金	DividendPerShare	0.00	JPYPerShares	0.00	CurrentYearDuration_YearEndMember_NonConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	単体	予想	合計	1株当たり配当金	DividendPerShare	0.00	JPYPerShares	0.00	CurrentYearDuration_AnnualMember_NonConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	単体	実績	合計	当四半期における配当予想の修正	CorrectionOfDividendForecastInThisQuarter			無	CurrentYearDuration_AnnualMember_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		業績予想の見出し	TitleForForecasts			３．2024年１月期の連結業績予想（2023年２月１日～2024年１月31日）	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		売上高	NetSales	47500000000	JPY	47,500	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		売上高の増減率	ChangeInNetSales	0.031	Pure	3.1	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		営業利益	OperatingIncome	4300000000	JPY	4,300	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		営業利益の増減率	ChangeInOperatingIncome	0.013	Pure	1.3	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		経常利益	OrdinaryIncome	4250000000	JPY	4,250	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		経常利益の増減率	ChangeInOrdinaryIncome	0.059	Pure	5.9	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	3500000000	JPY	3,500	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		親会社株主に帰属する当期純利益の増減率	ChangeInProfitAttributableToOwnersOfParent	0.001	Pure	0.1	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		1株当たり当期純利益	NetIncomePerShare	105.89	JPYPerShares	105.89	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期	連結	予想		当四半期における業績予想の修正	CorrectionOfConsolidatedFinancialForecastInThisQuarter			無	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績			MaterialChangesInSubsidiariesDuringThisPeriodChangesInScopeOfConsolidationsResultingFromChangeIsSubsidiaries			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績			ApplyingOfSpecificAccountingOfTheConsolidatedQuarterlyFinancialStatements			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		会計基準等の改正に伴う変更	ChangesBasedOnRevisionsOfAccountingStandard			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		それ以外の会計方針の変更	ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		会計上の見積りの変更	ChangesInAccountingEstimates			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	連結	実績		修正再表示	RetrospectiveRestatement			無	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	単体	実績		期末発行済株式数(自己株式を含む)	NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock	33973600	Shares	33,973,600	CurrentAccumulatedQ2Instant_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期	単体	実績		期末発行済株式数(自己株式を含む)	NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock	31773600	Shares	31,773,600	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	当期第2四半期累計	単体	実績		期中平均株式数	AverageNumberOfShares	31834373	Shares	31,834,373	CurrentAccumulatedQ2Duration_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
2023-09-08	四半期	前期第2四半期累計	単体	実績		期中平均株式数	AverageNumberOfShares	31773600	Shares	31,773,600	PriorAccumulatedQ2Duration_NonConsolidatedMember_ResultMember	/disc/91660/081220230907551698_tse-qcedjpsm-91660-20230908391660-ixbrl.htm
