日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2016-08-09	四半期	当期第1四半期累計					Tel			022-264-6112	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					QuarterlyStatementFilingDateAsPlanned			平成28年8月9日	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					SupplementalMaterialOfQuarterlyResults			無	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					ConveningBriefingOfQuarterlyResults			無	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		売上高	NetSales	94017000000	JPY	94,017	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		売上高の増減率	ChangeInNetSales	-0.091	Pure	9.1	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		営業利益	OperatingIncome	2161000000	JPY	2,161	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		営業利益の増減率	ChangeInOperatingIncome	-0.027	Pure	2.7	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		経常利益	OrdinaryIncome	2341000000	JPY	2,341	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		経常利益の増減率	ChangeInOrdinaryIncome	-0.141	Pure	14.1	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	1808000000	JPY	1,808	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		親会社株主に帰属する当期純利益の増減率	ChangeInProfitAttributableToOwnersOfParent	0.201	Pure	20.1	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		売上高	NetSales	103403000000	JPY	103,403	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		売上高の増減率	ChangeInNetSales	-0.107	Pure	10.7	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		営業利益	OperatingIncome	2220000000	JPY	2,220	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		営業利益の増減率	ChangeInOperatingIncome	1.746	Pure	174.6	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		経常利益	OrdinaryIncome	2727000000	JPY	2,727	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		経常利益の増減率	ChangeInOrdinaryIncome	1.452	Pure	145.2	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	1506000000	JPY	1,506	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		親会社株主に帰属する当期純利益の増減率	ChangeInProfitAttributableToOwnersOfParent	0.920	Pure	92.0	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		包括利益	ComprehensiveIncome	1079000000	JPY	1,079	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		包括利益の増減率	ChangeInComprehensiveIncome	-0.347	Pure	34.7	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		包括利益	ComprehensiveIncome	1654000000	JPY	1,654	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		包括利益の増減率	ChangeInComprehensiveIncome	0.699	Pure	69.9	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		1株当たり当期純利益	NetIncomePerShare	53.83	JPYPerShares	53.83	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	連結	実績		1株当たり当期純利益	NetIncomePerShare	44.84	JPYPerShares	44.84	PriorAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		総資産	TotalAssets	208206000000	JPY	208,206	CurrentAccumulatedQ1Instant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		純資産	NetAssets	87940000000	JPY	87,940	CurrentAccumulatedQ1Instant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		自己資本比率	CapitalAdequacyRatio	0.398	Pure	39.8	CurrentAccumulatedQ1Instant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		1株当たり純資産	NetAssetsPerShare	2466.92	JPYPerShares	2,466.92	CurrentAccumulatedQ1Instant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	連結	実績		総資産	TotalAssets	208922000000	JPY	208,922	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	連結	実績		純資産	NetAssets	87245000000	JPY	87,245	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	連結	実績		自己資本比率	CapitalAdequacyRatio	0.393	Pure	39.3	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	連結	実績		1株当たり純資産	NetAssetsPerShare	2445.85	JPYPerShares	2,445.85	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		自己資本	OwnersEquity	82891000000	JPY	82,891	CurrentAccumulatedQ1Instant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	連結	実績		自己資本	OwnersEquity	82183000000	JPY	82,183	PriorYearInstant_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	単体	実績	第2四半期末	1株当たり配当金	DividendPerShare	7.50	JPYPerShares	7.50	PriorYearDuration_SecondQuarterMember_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	単体	実績	期末	1株当たり配当金	DividendPerShare	10.00	JPYPerShares	10.00	PriorYearDuration_YearEndMember_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	単体	実績	合計	1株当たり配当金	DividendPerShare	17.50	JPYPerShares	17.50	PriorYearDuration_AnnualMember_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	単体	予想	第2四半期末	1株当たり配当金	DividendPerShare	10.00	JPYPerShares	10.00	CurrentYearDuration_SecondQuarterMember_NonConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	単体	予想	期末	1株当たり配当金	DividendPerShare	10.00	JPYPerShares	10.00	CurrentYearDuration_YearEndMember_NonConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	単体	予想	合計	1株当たり配当金	DividendPerShare	20.00	JPYPerShares	20.00	CurrentYearDuration_AnnualMember_NonConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	単体	実績	合計	当四半期における配当予想の修正	CorrectionOfDividendForecastInThisQuarter			無	CurrentYearDuration_AnnualMember_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		業績予想の見出し	TitleForForecasts			3. 平成29年 3月期の連結業績予想（平成28年 4月 1日～平成29年 3月31日）	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		売上高	NetSales	178000000000	JPY	178,000	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		売上高の増減率	ChangeInNetSales	-0.128	Pure	12.8	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		営業利益	OperatingIncome	2900000000	JPY	2,900	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		営業利益の増減率	ChangeInOperatingIncome	-0.327	Pure	32.7	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		経常利益	OrdinaryIncome	3600000000	JPY	3,600	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		経常利益の増減率	ChangeInOrdinaryIncome	-0.276	Pure	27.6	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	2400000000	JPY	2,400	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		親会社株主に帰属する当期純利益の増減率	ChangeInProfitAttributableToOwnersOfParent	-0.173	Pure	17.3	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第2四半期累計	連結	予想		1株当たり当期純利益	NetIncomePerShare	71.43	JPYPerShares	71.43	CurrentAccumulatedQ2Duration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		売上高	NetSales	393000000000	JPY	393,000	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		売上高の増減率	ChangeInNetSales	-0.066	Pure	6.6	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		営業利益	OperatingIncome	9500000000	JPY	9,500	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		営業利益の増減率	ChangeInOperatingIncome	-0.171	Pure	17.1	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		経常利益	OrdinaryIncome	10300000000	JPY	10,300	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		経常利益の増減率	ChangeInOrdinaryIncome	-0.173	Pure	17.3	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		親会社株主に帰属する当期純利益	ProfitAttributableToOwnersOfParent	6900000000	JPY	6,900	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		親会社株主に帰属する当期純利益の増減率	ChangeInProfitAttributableToOwnersOfParent	-0.257	Pure	25.7	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		1株当たり当期純利益	NetIncomePerShare	205.35	JPYPerShares	205.35	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期	連結	予想		当四半期における業績予想の修正	CorrectionOfConsolidatedFinancialForecastInThisQuarter			無	CurrentYearDuration_ConsolidatedMember_ForecastMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績			MaterialChangesInSubsidiariesDuringThisPeriodChangesInScopeOfConsolidationsResultingFromChangeIsSubsidiaries			無	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績			ApplyingOfSpecificAccountingOfTheConsolidatedQuarterlyFinancialStatements			無	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		会計基準等の改正に伴う変更	ChangesBasedOnRevisionsOfAccountingStandard			有	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		それ以外の会計方針の変更	ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard			無	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		会計上の見積りの変更	ChangesInAccountingEstimates			無	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績		修正再表示	RetrospectiveRestatement			無	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	連結	実績			NoteToChangesInAccountingPoliciesAccountingEstimatesAndRetrospectiveRestatementQuarterlyConsolidated			（注）詳細は、添付資料４ページ「２．サマリー情報（注記事項）に関する事項（３）会計方針の変更・会計上の見積りの変更・修正再表示」をご覧ください。	CurrentAccumulatedQ1Duration_ConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	単体	実績		期末発行済株式数(自己株式を含む)	NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock	37591969	Shares	37,591,969	CurrentAccumulatedQ1Instant_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	単体	実績		期末発行済株式数(自己株式を含む)	NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock	37591969	Shares	37,591,969	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	単体	実績		期末自己株式数	NumberOfTreasuryStockAtTheEndOfFiscalYear	3990677	Shares	3,990,677	CurrentAccumulatedQ1Instant_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期	単体	実績		期末自己株式数	NumberOfTreasuryStockAtTheEndOfFiscalYear	3990677	Shares	3,990,677	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計	単体	実績		期中平均株式数	AverageNumberOfShares	33601292	Shares	33,601,292	CurrentAccumulatedQ1Duration_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	前期第1四半期累計	単体	実績		期中平均株式数	AverageNumberOfShares	33601421	Shares	33,601,421	PriorAccumulatedQ1Duration_NonConsolidatedMember_ResultMember	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					ExpressionOfImplementationStatusOfQuarterlyReviewProcedures			この四半期決算短信は、金融商品取引法に基づく四半期レビュー手続の対象外であり、この四半期決算短信の開示時点において、金融商品取引法に基づく四半期連結財務諸表に対するレビュー手続は終了しております。	CurrentAccumulatedQ1Duration	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期				将来情報の利用に関する注意	NotesForUsingForecastedInformationAndOthers			本資料に記載されている業績見通し等の将来に関する記述は、当社が現在入手している情報及び合理的であると判断する一定の前提に基づいており、その達成を当社として約束する趣旨のものではありません。また、実際の業績等は様々な要因により大きく異なる可能性があります。業績予想の前提となる条件及び業績予想のご利用にあたっての注意事項等については、添付資料４ページ「１．当四半期決算に関する定性的情報（３）連結業績予想などの将来予測情報に関する説明」をご覧ください。	CurrentYearDuration	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期				決算期末	FiscalYearEnd			2017-03-31	CurrentYearInstant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				四半期	QuarterlyPeriod	1	Pure	1	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				書類名	DocumentName			第2四半期決算短信〔日本基準〕（連結）	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				提出日	FilingDate			平成28年11月10日	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				会社名	CompanyName			カメイ株式会社	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				証券コード	SecuritiesCode			80370	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				URL	URL			http://www.kamei.co.jp/	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				代表者の役職	TitleRepresentative			代表取締役社長	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計				代表者名	NameRepresentative			亀井文行	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					TitleInquiries			管理部長	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					NameInquiries			小林哲也	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					Tel			022-264-6112	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					QuarterlyStatementFilingDateAsPlanned			平成28年11月10日	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					DividendPayableDateAsPlanned			平成28年12月5日	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					SupplementalMaterialOfQuarterlyResults			無	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					ConveningBriefingOfQuarterlyResults			無	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentAccumulatedQ2Instant	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
2016-11-10	四半期	当期第2四半期累計	連結	実績		売上高	NetSales	188378000000	JPY	188,378	CurrentAccumulatedQ2Duration_ConsolidatedMember_ResultMember	/disc/80370/081220161110436284_tse-qcedjpsm-80370-20161110436284-ixbrl.htm
