日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2025-07-15		当期第3四半期累計				書類名	DocumentName			第３四半期決算短信〔日本基準〕（非連結）	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				提出日	FilingDate			2025年７月15日	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				会社名	CompanyName			株式会社エータイ	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				証券コード	SecuritiesCode			369A	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				URL	URL			https://a-tie.co.jp/	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				代表者の役職	TitleRepresentative			代表取締役社長	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計				代表者名	NameRepresentative			樺山 玄基	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					TitleInquiries			取締役	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					NameInquiries			田中 佑治	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					Tel			03(6328)3526	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					SupplementalMaterialOfResults			有	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					ConveningBriefingOfResults			無	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentAccumulatedQ3Instant	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		売上高	NetSales	2172000000	JPY	2,172	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		営業利益	OperatingIncome	600000000	JPY	600	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		経常利益	OrdinaryIncome	596000000	JPY	596	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		当期純利益	NetIncome	415000000	JPY	415	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		1株当たり当期純利益	NetIncomePerShare	103.94	JPYPerShares	103.94	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		経営成績の注記	NoteToOperatingResults			（注）１．当社は、2024年８月期第３四半期については四半期財務諸表を作成していないため、2024年８月期第３四半期の数値及び対前年同四半期増減率並びに2025年８月期第３四半期の対前年同四半期増減率については記載しておりません。 ２．潜在株式調整後１株当たり四半期純利益については、潜在株式は存在するものの、当社株式は非上場であった ことから、期中平均株価が把握できませんので、記載しておりません。	CurrentAccumulatedQ3Duration_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		総資産	TotalAssets	3571000000	JPY	3,571	CurrentAccumulatedQ3Instant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		純資産	NetAssets	2832000000	JPY	2,832	CurrentAccumulatedQ3Instant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		当期第3四半期累計	単体	実績		自己資本比率	CapitalAdequacyRatio	0.793	Pure	79.3	CurrentAccumulatedQ3Instant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		前期	単体	実績		総資産	TotalAssets	3272000000	JPY	3,272	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		前期	単体	実績		純資産	NetAssets	2536000000	JPY	2,536	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
2025-07-15		前期	単体	実績		自己資本比率	CapitalAdequacyRatio	0.775	Pure	77.5	PriorYearInstant_NonConsolidatedMember_ResultMember	/disc/369A0/081220250714514234_tse-qnedjpsm-369A0-202507153369A0-ixbrl.htm
