日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2018-11-09		当期				書類名	DocumentName			決算短信〔日本基準〕（非連結）	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				提出日	FilingDate			2018年11月9日	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				会社名	CompanyName			株式会社アズーム	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					TokyoStockExchange			東	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				証券コード	SecuritiesCode			34960	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				URL	URL			https://azoom.jp/	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				代表者の役職	TitleRepresentative			代表取締役社長	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期				代表者名	NameRepresentative			菅田洋司	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					TitleInquiries			代表取締役副社長	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					NameInquiries			高橋崇晃	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					Tel			03-5365-1235	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					DateOfGeneralShareholdersMeetingAsPlanned			2018年12月21日	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					AnnualSecuritiesReportFilingDateAsPlanned			2018年12月21日	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					SupplementalMaterialOfAnnualResults			有	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					ConveningBriefingOfAnnualResults			有	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
2018-11-09		当期					NoteToFractionProcessingMethod			（百万円未満切捨て）	CurrentYearInstant	/disc/34960/081220181023421527_tse-anedjpsm-34960-20181023421527-ixbrl.htm
