ID	業種	事業内容
Q001	情報・通信業	オンライン学習教材『すらら』サービスの提供
Q002	情報・通信業	ソフトウェア開発(組込み系システム・業務系システム)、自社ソリューションの開発・保守及びＩＴ技術者の派遣等の情報サービス
Q003	サービス業	ヘアカット専門チェーン『QBハウス』などを運営するキュービーネット株式会社をはじめとしたグループ会社の経営管理全般をおこなう持ち株会社
Q004	サービス業	マネジメントコンサルティング、プロジェクトマネジメント実行支援、マネジメントトレーニング
Q005	医薬品	医薬品などの研究開発、製造、販売
Q006	化学	電子部品、接合材料、光学材料などの製造・販売
Q007	サービス業	アルバイト・パートを中心とした採用コンサルティング、採用活動支援サービス、求人情報メディアの企画・運営など
Q008	機械	バルブ製造販売事業
Q009	情報・通信業	継続課金の販売・管理プラットフォームの提供
Q010	小売業	webサイト『NET OFF』を利用したネットリユース事業と、webサイト『ReNet』を利用したネットリサイクル事業
Q011	情報・通信業	機械学習技術などを利用したアルゴリズムの開発およびライセンス提供
Q012	卸売業	乳原料・チーズ、食肉加工品等の輸入を主とする卸売および海外子会社によるチーズの製造・販売を行う食品事業
Q013	卸売業	実演販売を利用した商品卸売など
Q014	その他金融業	住宅設備の保証サービス、中古不動産の住宅設備などに対する検査補修サービスおよび電子マネー発行サービスをおこなう、おうちのトータルメンテナンス事業並びにBPO事業
Q015	銀行業	銀行業
Q016	サービス業	ポータルサイト『塾ナビ』を中心とした教育関連等ポータルサイトの運営事業
Q017	小売業	牡蠣を主体とするレストラン(オイスターバー)の直営店舗経営及び牡蠣の卸売事業
Q018	サービス業	人材派遣紹介関連事業
Q019	小売業	『スシロー』ブランドでの回転すし全国チェーン展開
Q020	輸送用機器	自動車安全装置縫合システムの開発・製造・販売、レーザー裁断機の開発・製造・販売、血圧計腕帯の製造、カーシートカバーの生産など
Q021	情報・通信業	ウェブ技術をベースとしたグループウェアである「desknet'sNEO」とその関連製品・サービスの開発、販売等
Q022	サービス業	直営保育所・受託保育所の運営、幼稚園や保育所に対する保育士派遣、ベビーシッターサービス・ハウスサービスの提供、tenoSCHOOL（保育士養成講座など）の運営
Q023	金属製品	大型放射光施設で使われるX線ナノ集光ミラーの開発・製造・販売、各種自動細胞培養装置などの開発・販売
Q024	その他製品	各種IPを使ったトレーディングカードゲーム、モバイルオンラインゲーム、映像音楽コンテンツ、イベント、グッズの企画、開発、製造、販売
Q025	サービス業	ベビーシッター派遣などを中心とした在宅サービス事業および保育・学童施設などの運営をおこなうエデュケア事業など
Q026	サービス業	PXBマウスを用いた受託試験サービス
Q027	倉庫運輸関連	主にEコマースを展開する顧客の配送センター業務を代行する『EC・通販物流支援サービス』など
Q028	電気機器	産業用電子機器・工業用コンピュータの設計・製造・販売
Q029	情報・通信業	人工知覚技術の研究開発およびソフトウェアライセンスの提供
Q030	サービス業	建設業界に特化した人材派遣事業をおこなう事業子会社の管理・運営
Q031	建設業	造園緑化工事の設計・施工・メンテナンス等
Q032	情報・通信業	人工知能（AI）を活用したインターネットサービスの企画・開発・運営
Q033	情報・通信業	CGS事業（クラウドワーカーを活用した事業）の運営など
Q034	情報・通信業	金融機関等を対象としたシステムの開発、使用許諾(保守・運用含む)及びコンサルティング事業
Q035	情報・通信業	PHRプラットフォームサービス事業
Q036	小売業	ネット型リユース事業(販売店舗を有さない、インターネットに特化した多種多様なリユース品の買取及び販売)
Q037	サービス業	Webマーケティング事業およびクラウド事業（業務支援ツール『ネクストSFA』、『ネクストICカード』の開発・提供）
Q038	医薬品	がん免疫治療薬の研究、開発、製造、販売
Q039	保険業	損害保険業、生命保険業、少額短期保険業を営む子会社の経営管理およびそれに関連する事業
Q040	機械	給排水器具などの製造販売
Q041	サービス業	空調機器・電気・厨房・給排水衛生設備などの設備メンテナンス事業
Q042	情報・通信業	組込みソフトウェアおよびハードウェアのシステム受託開発、製造業を中心とするエンジニアリングソリューションの提供
Q043	電気機器	科学・工学向け高性能コンピュータのソリューション提供
Q044	情報・通信業	ECプラットフォーム関連事業
Q045	サービス業	ビジネスホテルの運営
